Vol.241 2025年度商业人物：特朗普
[00:35:50] 那联储在下半年主要降息三次的原因的话大家现在认为主要就是就业的数据不好看嗯这就回答就是我们前面说的联储的两个目标一控制美国通胀二保证美国就业现在
[00:36:02] 这个通胀感觉也控制不了太多了那我们能不能保一下就业是吧是的大家不知道还记不记得一件事情就是2025年这个年终的时候特朗普解雇了一个叫做美国国家劳工统计局的局长这个其实也是非常破天荒的一个事情因为美国的统计机构理论上也是比较独立于这个政府体系之外的是的这个机构主要是发布美国的就业数据尤其非农就业数据其实行业里面大家都会看的一个数据对就是我们前面讲的保就业就是联储主要大家看的就是非农的就业数据
[00:36:31] 那2025年7月份呢这个统计局发布当月的数据的同时呢还做了对于前面两个月的一个数据的修订嗯这个修订本身是其实很正常一个事情就是因为他的那个据说统计就业数据是靠发问卷对企业填问卷就企业问卷回收的这个质量其实直接决定他数据质量所以说一般来说就是稍后都会有一些修订但主要是他这次修订的这个
[00:36:55] 变化有点太大了就像我们GDP也不是有会有调整对这个是很正常的但就是像岳老师说的他修订之后的结果是太夸张了是大幅的下修就是修改之后的数据美国5月份加6月份的新增就业岗位少了25.8万个什么概念就是6月份一个月从原来的新增14.7变成了新增1.4
[00:37:18] 这其实是一个完全扭转的市场判断原本大家觉得说比如说一套组合旋下来我们美国就业增长非常强劲其实是向好的结果改完变成增长极其疲软政策工具没有任何用处是的当时有很多人体感就是五六月本来原本的数据出来的时候大家都觉得
[00:37:38] 哇这么好吗很惊讶很有用啊你这个政策对然后结果信完来之后发现啊果然是这么差跟我的体感差不多你怎么两头赢呢这个对于特朗普的这个就是这个政绩是个很大的一个打击嘛所以就是他无能狂怒无能狂怒把那个劳工局局长给开了是就是就是杀性使是吧有点类似于是那对于联储来说呢确实这个就如果这个情况是比较严峻的话是需要警惕的
[00:38:02] 那他们就是下半年对于就业的担忧整体上来说超过对于通胀的担忧是也可以理解吧那么25年下半年就有连续三次的降息但是这个降息就是一个是内部的分歧非常大大家可以看到很多报道尤其是第三次降息的分歧是非常严重的就是他们每次都要开个会开会的时候投票嘛比人家吵嘛对 是的那过去有可能大家就是还是讨论据说后面一次分歧是比较大的一个争吵那毕竟还是降息了对吧大家还是会
[00:38:30] 就是引发就是你连续三次降息会不会对通货膨胀又有带来新的影响等等的因为我们知道联储对于通胀的控制的目标是2.0就是目标到2025年下半年的一直是维持在2.7以上的2.7%以上
[00:38:45] 9月份的数据是3.0%的一般来说市场就会评价说这个通胀叫做粘性十足简单说就是比较顽固不肯往下走不肯往下走对不过我们看到最新的就是11月份的数据也就是2.7%就是又有所回落也低于预期反正就是有的评论认为对于26年通胀再度加剧的担忧稍微小了一点但是
[00:39:06] 这个评价不是非常统一的市场的预期也不是很统一的总的而言是一个比较不明朗的局面反正是离2%理想目标还是有一定差距的是的但聊完降息到底有什么影响之后我觉得可以回过头来说特朗普施压美联储去做降息这件事情最主要的意义可能还是在于施压这个动作本身特朗普其实觉得说既然你这个货币政策对于我整个通盘的政经布局是一个很重要的因素
[00:39:34] 那我一定要让这个因素尽量的就是受我控制但是你现在局面是不受我控制那我就要改变这个局面是的因为老师讲这个点非常重要就他反映了特朗普的一个认知就是
[00:39:46] 美联储不应该是独立的这个其实是超越很多
[00:40:15] 下一任联储的主席会是谁毕竟是你能提名的这其实就反映了你的意志的方向了截至我们录制的时候这个结果还没有公布特朗普说他是已经决定了只是在1月份要公布但反正现在还没公布主要的竞争者是包括三个人一个是跟特朗普关系非常亲密的一个叫哈塞特的白宫的经济顾问第二位就是美联储现任的一个理事叫沃勒还有一位是美联储之前的一个理事叫沃石
[00:40:43] 大家普遍认为哈塞特如果获得提名的话就是相当于明面上削弱了联储的独立性不过在这个问题上面我们还再次推荐一下我们非常喜欢的一位创作人肖小跑他的播客发现叙事我们之前应该推荐过他在自己的公众号上面有一篇文章最近就聊了关于联储主席的竞争者的问题他还是比较特别的提到了我们前面讲第三位候选人就是沃什
[00:41:08] 为什么呢因为这个沃什和现在的美国的财政部长这个贝森特有一个非常重要的关联就是这两个人都是美国的一位投资大师就是德鲁克米勒的弟子应该这么讲可以叫弟子这里也可以推荐大家听一下他们就是知行小酒馆的这个投资大师系列里面专门有一期是讲德鲁克米勒的这个德鲁克米勒他有个很重要的投资理念就是他认为联储本身就是市场最重要的一个参与者就是联储本身在制造经济的周期
[00:41:37] 过去持井的宽松的情况是现在宏观经济的一个主要的原因所以必须要改变这是他的一个理念那么他就会认为如果说沃什上台的话就由于他跟贝森特等等这些人之间一个非常特殊的关联所以美联储未来的定位有可能确实在这些理念比较共通的人的手中真的会发生一些改变这是所谓的百年未有之大变局了
[00:42:00] 前面我们已经聊了三个关键词分别是关税减税和降息我感觉特朗普在这三件事情上构想其实是就是拢成一团的或者说是一个组合拳吧就是关税和减税本身是有相互配合的部分的那降息呢理论上可以降低这些政策的成本然后呢这三个政策又同时指向一个共同的目标一是提升美国当下的经济表现二就是扭转美国制造业的空心化
[00:42:27] 关于制造业的空间化的问题如果我们前面三个关键词可以说都是间接的来影响这个问题的话最后一个关键词就是科技产业其实是直接的指向这个目标的不过这个关键词里面大多数内容其实我们在第225期就是讲美国会有更多国企吗这期节目里面因为老师都已经讲到了我们这里就简单复叙一下那期节目的核心信息然后完整的你可以听那期节目
[00:42:52] 在这期节目里面其实主要就是分析了现阶段特朗普对于美国企业的N种插手的姿势第一个比如像英特尔这样就直接的持股第二个就是像美国钢铁的被日本钢铁来投资的事情一样有一个所谓的一票否决权或者是叫黄金股第三个就是像英伟达这样的就是卖给中国的芯片你还要从里面销售的抽成
[00:43:16] 第四个就是一个号称叫主权基金但是更像是产业投资基金的一个宏大的计划除此以外就是我们前面提到在整个贸易战过程当中通过关税这个手段来说服倒逼企业去美国建厂投资这个也算是基本操作从这些动作可以看得出来特朗普是非常喜欢直接参与具体的企业的核心的决策的只要这些企业的经营或者他们的产品他认为是很重要的话
[00:43:44] 他就会去直接插手来决定整个这一套做法我不知道你怎么感觉还是会比较像我们比较熟悉的一些产业政策我感觉他这两年就学的好像主要不知道在学谁就是学先进服我觉得学先进服对所以这是为什么我们那个时候225期会说美国可能会有越来越多打引号的国企但这种总统的参与甚至我觉得它不仅限于经营的层面还包括政治上的影响
[00:44:08] 比如像前面其实我们比较少提到的2025年其实美国政府对于企业最大的一个影响就是所谓的去DEI化消除所谓的多元公平包容的政策这个其实对于所有企业来说算是一个比较大家觉得比较倒退的一个点或者是一个服从性测试这种感觉当然我们还是回到经济的层面在225期节目之后其实特朗普的科技产的政策又有一些新的很重大的动作
[00:44:37] 尤其是AI领域他出了一个所谓的创世纪任务就是Genesis Mission号称是当代的曼哈顿计划他的目标就是确保美国在AI领域的领先简单而言这是一个由美国能源部领先的一个计划为的就是让美国的AI企业能创造更好的模型这个背后就需要很多的算力和电力的支持其实就需要联邦政府层面来主导
[00:45:00] 为此甚至在考虑做一些什么小型核反应堆建设
[00:45:29] 那个基础设施但是不得不说我们一直以来认为美国政府对于这种大的概念相对来说有点落后这个局面现在已经是在AI这个事情上是有点反转了它的反应是非常迅速的可以看到一些数据就是2025年美国的GDP增长其实基本上都靠AI相关产业就是非常投资拉动非常投资拉动是的但如果说特朗普在产业政策上面和前任拜登最大的差别我觉得有可能就是这种对待新技术的态度
[00:45:57] 比如说拜登是支持清洁能源的特朗普是在支持化石能源的他可太支持了虽然说AI训练要用核电站但是他还是很喜欢使用他就太喜欢了比如说对于AI的态度拜登的政府是非常审慎或者是非常保守的他要监管要确保他是安全的AI等等合规优先对特朗普的态度就是AI是一个支柱产业我们美国必须是第一所以就是加速你现在还听到过他讲什么超级对齐不对齐的事情没有
[00:46:26] 还有一个其实也不算是产业的领域吧两者的态度反差也非常大就是虚拟货币拜登时期对虚拟货币基本上就是严格的管住严格的管住虽然也没管起来对吧特朗普呢就是十分的支持就是把比特币都纳入国家的战略储备了我觉得这个也是很大的区别
[00:46:43] 不管是用关税或者各种压力让企业重新回到美国还是大力支持如火如荼AI虽然这些领域各自是独立的但是能看出来特朗普思考产业政策的核心不是说这个产业本身对于社会对经济有什么复杂的影响他考虑就是很简单一些道理这个产业重不重要重要那我就只要在这个产业赢与此同时政府也要深度参与赢的过程
[00:47:09] 那到这里我们就把特朗普在2025年这一年经济领域的四个关键词复盘完了还是很多事情的不知道大家有没有注意到这次复盘我们其实比较少在每个关键词后面做很系统的总结分析就简单小结一下比较少对为什么呢主要是因为我们想把这个小结放到最后一起来因为单独分析一个领域我发现是比较困难的必须统括起来聊这些关键词之间的关系会比较有用
[00:47:38] 所以最后呢我们想聊一个话题就是也是一个梳理完这些动作之后的一个体会吧就是特朗普这一系列政策他有没有一个内在的逻辑和框架或者他大抵想实现的是什么东西关于这个问题呢其实给我启发比较大的还是2025年大西洋月刊对于特朗普的那次深度的专访因为这是他第一手的这个表达自己
[00:47:59] 一些理念的一个渠道或者一个内容这不管你信不信这基本上是唯一的机会了对就他在里面给出的信息是非常多的我觉得这个东西还是要重视给我自己一个非常清晰的一个就是信号就是特朗普知道自己在干什么这个其实反而超出很多人的预期是的就是他和第一个任期不同就是他也会在那个访谈里面强调就他不再是一个那种就是比如说传统的建制的一个闯入者或者挑战者而是一个我知道你原来的运行规则是什么
[00:48:28] 现在我已经准备好来打破并且重建这套规则的
[00:48:57] 美国的领先优势主导地位国家安全都是那些词你可以看到这些词在访谈里面反复的出现如果说这么来思考问题的话虽然我们不一定认同这个观点但是如果按照他这个逻辑去思考问题的话就会发现我们去讨论他很多政策的具体的得失或者那些角度就会变得没有那么有必要就算那些小赵好像
[00:49:17] 他可能不这么想的对因为他一直在算一个总账而不是说小账小账可能说他在算总账的一些过程当中他可能有些小账比如说这个方向比较好他会优先算这个小账是的那接下来的问题就是为什么要这么做呢我觉得如果从个人权利的角度来理解的话其实他
[00:49:37] 创建了这样一个新的叙事或者说是这样一个新的框架之后呢它有最大的一个好处就是能够打破传统的权力结构因为你如果过去那样就是就才认论才认的话其实有一个事情就是你的决策权还是像过去那样是分门别类的你必须遵从一些传统分工或者一些部门的特权或者权威啊等等的是吗
[00:49:58] 但是就像我们前面讲的特朗普是希望打破这一切的就像我们前面提到过的就是马斯克的政府效率部去做那些事情包括后来的政府停摆今天我们都没有展开讲其实都是和他减税的计划是紧密相关的其实总体来说还是一个核心点就是想要打破美国的官僚体系
[00:50:18] 是的但是我觉得需要说明的是这种改革的方向和共和党原本说的那种什么追求的小政府我觉得不是一回事情里边和核心的区别就是说他这套打破了之后行政机构的规模和力量肯定是削弱了但是总统的力量更大了就是所谓小政府但是大总统对对是的是的在这一整套的马嘎的叙事里面什么有利于马嘎什么不利于美国第一这个判定权是归于特朗普的
[00:50:45] 所以你原本的所谓的独立性自由市场的这些规则等等我都不认主要是为了美国第一的话我都可以插手我觉得这个是他的一个核心这个我觉得甚至从特朗普给一些法案的秘密也可以看出来什么大而美法案Ginius法案还有什么给儿童这个账户叫特朗普账户我觉得他还是很擅长说用这种很直白的大家都能听懂的宣传方式把自己和这些政策的利好面去绑定所以听上去非常的无聊非常的老灯
[00:51:12] 就像我们之前讲那些奇特的债券名字一样但是还是要说一个事物的名字不是那么无所谓的我们在反复讨论它的时候它还是会产生潜移默化影响
[00:51:23] 我们无意中还是在帮助特朗普加强他的个人权威是的而且对内如此对外也是这样为什么特朗普在突袭委内瑞拉之后他接受纽约时报采访不是说我不需要国际法的约束只有我的道德才能约束我我觉得也可以纳入到我们前面讲的把经济等等东西都纳入到国家主权和安全框架里面来那么接下来还是会有一个问题很多人都会问的
[00:51:47] 凭什么他就能打破这个原来权力结构把这个权力集中起来呢这个感觉就是非常深刻的又很大的一个美国政治的话题我也不懂但是我这一轮回顾或者是盘点下来我发现的可能是因为就是美国总统的权力本身就很大就所谓elected king是吗只不过他就是真的把自己当king来这样硬做了是我觉得是这样就是我们看到不论是加关税就是我们前面如果你回顾我们前面讲的那些内容
[00:52:15] 不论是加关税还是产业政策特朗普都可以援引一些美国法律里边很宽泛的条款来做扩大化的解释然后赋予自己非常高的灵活激变的权利
[00:52:25] 所以仅从法律上面来看的话
[00:52:54] 他提到
[00:53:23] 奥巴马时期其实就有用行政这个命令来取代国会立法来强行的推动一些自己想要的一些议程的这个先例的所以实际上一步步过来虽然我们对奥巴马可能就认为他肯定算是个相对比较温和的总统特朗普应该不是一个类型的但实际上就是做事的方法上面竟然是有即可循例的逻辑我觉得这个点也是比较有启发的那这个呢是从权力的角度来看特朗普的这套理念
[00:53:47] 当然扩大一些说的话就是所谓的特朗普主义肯定不是特朗普一人的主义这一套以国家主权和安全为核心的经济政策本身也不是为了特朗普一人掌权来设计的也不是凭空想出来的就像我们前面说的现在的特朗普和2016年最大的区别就是他不再是一个单独的挑战者他实际上是一个新崛起的思潮观念的集合体的一个代表者
[00:54:11] 你像这个关税背后的这种比如重商主义也好或者经济的民粹主义也好实际上是美国历史上长期的一个传统然后对于核心产业的这种国家级的扶持实际上美国二战之后有非常多的一些例子只不过特朗普非常直白的把这一切都拢在一起了这是在很短的时间里面这样去做的另外你要说从国家战略国家发展安全这种角度来统筹规划整个经济贸易产业的发展这个思路对于我们来说真的很陌生吗
[00:54:39] 不是吧我觉得我们很熟悉是的那从这些角度来看似乎我们在内在楼上面给特朗普2025年这一系列的经济政策都找到了一个比较合理的非常通顺的一个统一的解释感觉都说得通的但是不代表说我们认为这一切都是理所应当且可以接受的是的我觉得这一点是最后我们想要强调的因为你政策的倾向可以有左有右然后推动的方式可以可还可及吧但是在这里边我觉得
[00:55:04] 比较令我们感到就是无力的一个地方就是特朗普在推动他认同的这个理念和政策的时候是不惜打破一切的这个一切当中就包括了美国商业世界一些基本的运转的规律或者说是一些氛围或者说是一些传统比如说有一个就是政府对于企业做生意过去是倾向于不多干涉的这样一个传统当然我们不是说过去美国对于经商就是放任自由的恰恰相反它是监管很多的一个国家
[00:55:33] 但是从文化和氛围上面来说人们认可很多时候企业跟政府应该是拉开距离并且保持平时的一个位置的至少是一个相对来说比较平等的状态比如说有一个例子就是苹果在十来年前还是可以跟美国政府argue说我不解锁手机的即使是在当时
[00:55:49] 最主流的一个大学士是反恐的背景下依然可以这样去坚持是的但你能想象现在他这样的拒绝吗实际上现在特朗普正在塑造一种新的共识和倾向或者是这种气氛就是企业的生意是可以经常被行政的首脑来插手的如果你把这种视作一个惯常的因子而不是一个意外世界的话那你整个的思考方式就会转变了那你就会很大程度的影响商业活动至少是这几年的商业活动
[00:56:15] 这样前几年跨国公司都会从全球分工转向一个所谓的供应链的韧性那现在美国企业做生意也需要思考是说自己的投资对象合作对象是不是符合目前这个政府或者说简单说目前这个总统的口味那如果说不符合那我是不是可以用一种简单明了的方式来向最高的决策者施加影响力然后换取这种对于规则突破呢一旦你的决策里面有了这样一个因素的话你就很难再把它排除出去了
[00:56:42] 而我们认为这种因素有可能会影响企业自由的探索自由的生长而这是这种自由生长的氛围实际上是使得上世纪七八十年代硅谷最初的探索者能够从当时冷战包括国防的阴影里面走出来然后找到自己改变世界的方式而当这种自由的氛围受到侵蚀时它的后果不会在一朝一夕之间呈现但会弥散在可见的未来里商业可能会变样
