Vol.113 “新一线”十年，中国城市大改变
[00:37:25] 甚至包括说这个城市里生活的居民他的除了工作他生活的方方面面都是被这个公司所提供的各种各样的福利所包括的当年有个很明显的概念叫公司办社会对啊所有的东西都是由公司或者是单位来包办现在你还可以见到我们同龄人里面还有厂矿子弟某些企业子弟这样的概念石化子弟对吧对石化就是一个就是过去的上海石化在金山处这个地方就是相当于这个概念包括像宝山也是一样的是的一样的
[00:37:53] 但是我们今天就是或者说是现在会讨论的这个公司城其实跟那个时候就不太一样了对你现在讨论柳州你怎么可能讨论到柳州和汽车的关系但是柳州和螺蛳粉的关系对没错当然那个柳州其实还是很厉害的但我们现在讨论的这些公司城的话其实这些公司就是大厂互联网的一些公司对
[00:38:12] 或者说是一些跟科技类相关的一些公司至少对这个东西的质感会强很多很多比如说你讲到阿里那你肯定会想阿里和杭州的关系腾讯和深圳的关系华为和东莞的关系当然华为跟深圳也很重要还有科大讯飞和合肥的关系对这是我们前面讨论的时候举出的几个比较
[00:38:32] 典型的一些例子就是说它跟城市的绑定的关系从直面上面来看肯定是没有像过去的工业城市那么的明确和直接了或者说是制度化了但是这些公司对于这个城市的影响还是非常深刻的可能从一个非常显著的表面性的就是你一眼就能看到那个影响变成一个深层的影响对 其实大家都很了解的就是比方说杭州和阿里的关系深圳和腾讯的关系
[00:39:00] 这个里面其实我们在做数据的时候会发现一个很典型的
[00:39:03] 结论当这个数据是阿里系来提供的一些生活服务类的一些指标的时候
[00:39:32] 什么都没有带没有带现金其实是没有问题的但当时的支付宝的普及说实话大家再仔细回忆一下1617年的时候支付宝的普及其实没有那么高的即使在北京和上海你说没有支付宝你要坐个地铁你还得去买公交卡
[00:39:45] 买买买地铁票但是在杭州是可以一马通行的对这种体验其实还是蛮典型的一个互联网改变了包括说它其实有很多实验性的东西可能会放在杭州本地来做因为这是它可控范围内就是可以做一个很好的一个实验场的一个东西比如说我记得可能支付宝有一些像什么刷脸支付之类的比较新兴的一些小的功能其实都是在杭州本地先上
[00:40:09] 一些小的你们内心上觉得没有问题再开始往外跑对比方说我们最近去了一次深圳然后像比亚迪他的云巴这样的这种比较对他来说比较fancy的一个产品线他其实就是在深圳可以找到一个区里面直接去落地对我觉得我们现在举的这些例子就是可以大概给大家一个概念的话就是说
[00:40:26] 虽然你听上去好像这个城市非常非常大也不可能只靠一个公司来影响在杭州在说阿里的时候一定会有人告诉你杭州还有网易对但是其实我们想表达就是它这个服务社的影响力还是蛮大的你想阿里有可能在杭州有一个六位数的员工但它上下相关的员工就有可能是大几十万或者是更多的影响更多的人口的家庭这个对于一个比如说千万左右的城市来说已经是很厉害
[00:40:50] 是的其实我们看比方说像杭州最近这几年的人口增长每年大概是大几十万的量这个量你很难说这个里面和我们的这个新经济之间到底有多大明确的比例关系但一定是占大头的还有一种类型的话就是我们刚才举的例子像合肥和科大训飞
[00:41:06] 现在在合肥的这些高新的科技企业里面科大讯飞肯定不是唯一一个了但是我觉得我们把它提出来的话是因为它代表了合肥走通了一个模式本地的科研和商业的公司工业界能够结合起来能够跑出来一个
[00:41:23] 那个大型的公司然后有比较大的影响力然后聚集了很多的这个人才那他之后合肥大家比较熟悉的面貌就是所谓的这个硬科技领域的这个像风投一样的一个地方政府这个模式其实是因为他之前已经有一些比较成功的案例他能跑起来形成了这样一个城市的氛围的是的包括我们去看一些明显的节点比方说深圳大概是在十年前开始引入大量的北京的
[00:41:46] 头部高校或者香港头部高校去深圳建深圳大学城那么合肥现在这一步也启动了虽然相差了10年但是你可以看到有一些城市它的路径还是非常响的对这个里边这个公司或者我们说产业的这个影响力是非常非常重要的产业议题这个事情还是成立的对
[00:42:02] 尤其是那些教育的部分你可以看到里面公司的参与的程度这个是必然的这个不是说只有这些城市发明出来的东西你在海外的话看到的一些地方都是这样来搞的对 其实过去的10年里面中间有一段时间研究过一个很有趣的现象其实在中国有几个是类似于百万大学生的城市武汉嘛武汉 南京 西安还有包括广州其实大家都是拥有了上百万的大学生的数量但是这几个城市说实话在中间有几年的时候的发展是比较胶着的也就是说他们大学生留不住
[00:42:31] 留不住武汉的大学生经典的话是你就是大学生为什么这么多还留不住对都去了深圳武汉的大学生都去了深圳然后南京的大学生好多跑来了杭州南京就很焦急的说我们能不能也来个阿里对这种之间的这个比较其实大学生的流动最明显的其实就是我们说的这些新一代的公司成他的吸引力对于甚至一些深原地都是很大的影响
[00:42:56] 那顺着人口流动呢我们再讲一个非常有意思的话题更加深一点的话题了稍微深一点可能会引起一些争论对可能会引起一些争论的话题叫北方的没落因为我小时候是在北方长大的而且最近就是不小心又去了几趟北方我确实感觉到北方是有一点没落了这是我自己的体感啊不代表大家的体感啊其实这个趋势的话从我们自己这个新一线的榜单的报道来说
[00:43:23] 还是比较直观的因为2013年我们最早排这个新一线城市的时候我们这个新一线是按照15座就是除了北上广深以外的15座城市那个时候一半是北方的我们看一下有那个天津西安青岛沈阳大连济南还有郑州后来还有郑州对郑州我们在这里就是相对于北方城市对那要不从了你来说一下2023年的这个最新的榜单里边北方城市还有哪几个
[00:43:50] 对2013年的新一线里面有西安然后天津郑州和青岛
[00:43:56] 一个比较明显的就是我们当年很看好的一个城市沈阳沈阳和大连两个东北都没有了突然就消失了而且其实我们再往后面看的话尤其一些东北的一个城市包括华北的城市在具体的分数上面都下降了当然这个是我们新一线不代表绝对的唯一的一个标准但你可以看到这是一个趋势但是我们回过头再说2013年我们真的很看好沈阳
[00:44:20] 对这个时尚是我们让我们最震惊的就我们看到2013年我们刚刚提新一线这个概念的时候专门写了一篇文章说沈阳非常受奢侈品品牌的欢迎这事像是往事不要再提的那种遥远就是我们在回看稿子的时候就是不约而同的对这段描述非常的震惊啊就说当年LV在沈阳是有至少三家还不知道四家的这个
[00:44:44] 门店的我到现在都还很震惊的事情是沈阳有两个恒隆这件事情沈阳有两个恒隆上海也只有两个恒隆对其实当时的沈阳恒隆的扩张就是因为恒隆在上海获得了成功之后他要选择第一个拓出去的扩张的目的地他选择了沈阳第二个扩张目的地是天津这个仅仅是十年之前
[00:45:05] 听我们我其实说实话我个人的直观冲击是很大的就我们好像讲什么所谓的东北的人口流出之类的这种好像讲了很多年但其实在2013年的时候你仅论消费环节里边其实
[00:45:18] 并不能说它是一个已经很末路的一个状态了它还非常受到重视因为众奢是一个很有指标性的一个品类是 当时大家都认为因为其实13年的时候已经经历过奢侈品在中国的一轮爆发的高潮之后处于一个顶点往下走的某一个拐点上当时其实我们看到的是说像沈阳代表的东北整个区域能不能支撑得起这种高端消费
[00:45:41] 反正我记得我们到后面有一年再去写新一线报道的时候确实又写了沈阳当时沈阳那个标题叫沈阳没有风那个标题好像也是很有故事一个标题
[00:45:52] 当时去看沈阳的时候已经看到就是说所谓的人口的流入这些事情已经是不太存在了就是人口就是流进去以后非常失望发现这个城市没有办法支撑他们的就是长期的发展然后人口又流出了这个最近几年不是有那种非常标题化的这个热搜化的一些这个总结就是说10年里面这个东三省人口少了1000万之类的谢谢说吧但我觉得这个具体的口径其实不一样的我们不是说这个就是一个绝对的一个数字包括你是不是可以把三亚也算上三亚算不算东北
[00:46:22] 然后只是在东北范围内流动对毕竟三亚是有哈尔滨派出所的对
[00:46:31] 这个其实还是很说明问题的也就是我们前面讲的消费的有可能在10年前还挺受重视到现在有可能在明面上面你看到的都有一些没落是跟人口是紧密相关的当然我们说北方这种人口的流动其实也确实是给好几个城市带来了一定的后续增长的可持续的问题比方说现在的品牌再去看到我们的一些北方的原来他们注点非常
[00:46:57] 就是非常压重力去做的一些城市的时候其实他们心里面的疑问就会非常大我前面了解过一个比较top的零售品牌他们的总部全球总部对于去东北城市开店是直接一票否决的他们的总部老板是不认为这件事情是work的就是它已经形成了一个固定的惯性思维的惯性了形成了一个印象对甚至我了解过一个东北出来的一个全国性的一个旅游产业的一个公司
[00:47:27] 他当时找我们去做这个城市评估的时候说评估范围里面不包括东三省怎么说呢就听到这个
[00:47:36] 事实的时候我们仅仅是描述这个现状没有任何的评价的或者说是主观的情势还是比较感慨的现象是一种现象但是如果你当公司做纸约测的时候它就已经按照一种非常直观的画一条横线的这种印象来形式的话其实接下来以后的趋势是更加会让人担忧的是的其实我刚刚说到这家零售商后来靠中国本地团队的努力因为他们有一个北区的团队对于
[00:48:03] 就是北方的市场还是相对了解然后很努力的让这个东北还是开出了门店并且效果很好对所以其实这个还是也要看就是说我们对于在地市场的这个了解程度和这个市场腹地的一个熟悉也没有那么决断的可以从遥远的海外总部能够做这个决定是在认为当然我们讲北方的话不是单单讲东北就是包括我们回看2013年的报道的时候我们会发现还有一个北方城市其实是非常当时是非常热的就是天津
[00:48:31] 当然现在还是新一线了当然因为体量毕竟还是非常大的对吧而且是一个直辖市对还是一个直辖市你是不能以其他城市的水平来看待它的包括我们2013年或者说更早稍微
[00:48:43] 早一点的时候其实对于他的政策的倾斜是比较严重至少是有些政策上的扶持的一个概念包括当时我们讲一些新区的时候那肯定是滨海新区是一个在全国都会被讨论的一个东西是以及那个时候的我记得一提到陈世群的时候金金记和长三角竹三角完全是并甲齐驱的也是我们当时感受到因为那个阶段我还在北京工作在北京的周刊写稿子那个时候我们会觉得说去趟天津出差真的很方便现在去天津出差也很方便是但是现在的这种方便感
[00:49:11] 金金之间的这种方便感和我们在长三角看到的网络性的便利度其实水平上没差但是现在你很少再有人提到这件事情对 它的这个便利度变成因为它只是两个城市之间它没有城网点对点它中间没有别的东西也没有互动对 它不像是你在上海你聊起你长三角可以半个小时到苏州到无锡到杭州到哪里就一大堆一个小时吧对 一个小时内上海可以到苏州到无锡到杭州到哪里都可以那这种
[00:49:39] 多点式的网络状的便利度其实在我们说的金金记这个城市群里是没有就是你不会讨论在从北京到天津路上你可以去趟廊坊
[00:49:47] 其实可以但是它没有这么大的目的就是没有这么多目的让它网络状的跑通对它的商旅出行其实目的地是比较少的当时我们看就是整个滨海新区的规划里面是有建成什么精英级CBD的一个
[00:50:03] 去的概念的然后包括有一些奇特的配套是著名的这个瑜伽铺国际的设计竞赛是当时其实请到了几乎国际上所有能做CBD设计的这种塔楼设计的顶级的建筑所来自竞标最后包括其实滨海新区现在也有一栋北方地区最高的高楼但是这个对但是大家其实前两年有过一些像城市探秘一样的去了滨海新区大家就比较的落差很大嗯
[00:50:30] 对那我再强调一下我们其实仅仅是描述这样一个状态
[00:50:35] 而且只是切入一小部分并不是说这个就是我们说的北方的没落并不是说彻底凉了或者是任何没有机会或者是贬低这些城市并没有的但是你会看到有一个精细的对比就这个对比并不是说我们把一个话今天翻出来再讲而是我们在回看十年的时候会感觉到有个差异对吧就并不是说十年之前它已经开始没落然后这十年就是一直往下当啊什么的可以看到就是曾经还是有机会的或者说是有些这样的我觉得一方面是求生欲啊但一方面的话我觉得这个也是
[00:51:04] 是需要给大家明确的包括你刚刚像从来讲的那个零售品牌那个例子的话我觉得是蛮有启发或者是会有点警醒如果你直接就形成一个印象然后非常简单的所谓的照章办事照印象办事的话那我觉得其实也不太可取包括我们前面讲到的这个天津和滨海新区的话它这个变化或者这个势头的这个缩小当中也是有一些这个偶发事件的这个发生当然其实这个事件本身也是非常标志性的可以说是一个
[00:51:33] 我们在回看过去几年北方城市的一些变化的时候
[00:51:37] 可以当做一个markstone或者是一个标志的一个事情的一个概念既然我们都把滨海星这种项目都讲到那我们其实就可以引到我们觉得感受比较深的最后一个话题了就是这个城市好像都变得越来越大了如果要说过去十年中国城市的变化最明显但又最直观的演化就是城市变大了一个最直观的数据就是我们看这个根据第七次人口普查这个数据中国内地常住人口超过
[00:52:06] 一千万的城市19座OK你要知道中国地级市或地级以上的城市一共就337座而且19座城市里面有7座是在过去10年里面变成千万级别人口的城市的这个里面包括了像西安郑州武汉杭州东莞青岛和长沙他们其实过去在2010年的时候人口大概都是八九百万这个规模而这个城市的
[00:52:33] 人口的变大或者是它这个规模的变大和这个所谓新城就是紧密相关对其实你前面讨论主要是人口变大我的直观感受是城市的面积变大了这点我们还是cue一下丛容因为丛容是一个杭州人杭州是一个我直观感觉就是这个城市确实在明显变大的一个地方这个节目是可以讲个人经历的当然可以的这里面就是讲一个故事我爷爷是在他的概念里面是杭州市萧山县人士但其实我们的老家在哪呢
[00:53:03] 其实现在的概念里呢是在杭州滨江区最西边的这个普延镇其实它已经是滨江区了这个是30年前发生的概念所以那天我跟我们家人提起说这个故事啊如果是20多岁的杭州人都不一定讲得明白对我们家因为有这层的这个遥远的迁徙的过程所以我们还知道自己老家是滨江区的萧山人对那么我的自己出生地在这个当年的杭州市渝航县现在因为这个
[00:53:28] 行政区划经历了数轮调整之后我现在是杭州市林平区人士对这个因为渔航区当年太大了然后把它拆成了东边和西边的两个部分这个西边的渔航区呢现在是这个杭州新经济的核心重镇然后我们林平区呢也是这个新型制造业的一个比较大的片区所以在这过去的这30年里面杭州的行政区划其实是大量的从主城的很小的一片老杭州城真的很小很小这个片区里面撤现设施然后后来并区
[00:53:58] 这种情况其实是很普遍的发生在中国的一些大的城市里
[00:54:27] 是的而且这个过程当中有几轮浪潮第一轮浪潮大概发生在00年到01年左右当时有大量的这个撤市社区撤县社区上海其实也都算在上海也是在这个主部的过程当中最后一个把虫民捞进来对吧这个过程当中其实包括南京杭州还有很多这个我们新一线城市其实都是在20多年前的这个时间节点上扩张过一轮然后在最近的一轮应该就是在五年之内
[00:54:55] 行政区块的调整又让很多城市并进了很多新的区对举一个非常直观的例子就是郑州它的一个新区的面积郑东新区巨大的新区这一个新区的面积就抵得上所有原城区的老城区的这个面积的总和是的曾经还有过一个也不能叫段子是有人认真的算了一下说全国县以上的新城新区超过3500个规划人口达到了34亿半个地球的人
[00:55:22] 非常可以理解对就是我们因为在讲这个城市规模扩大的时候其实就是他找了一个新城画了一块新地和他这个人口的这个扩大是同步的然后这个新城的开发和这个城市这个面积的这个尺寸的扩大也是同步的我们所谓的摊大饼其实不是说是慢慢的往外摊它就是一块一块
[00:55:42] 像北京那种什么建完那个四环建五环建六环建七环就是已经是非常过时的一个城市发展的对就是或者是比较特殊的一种情况了我们现在看到比较多的是新城当然新城的话就会随之而来的像刚刚讲的34亿这个就会出现很多的就是新城变成鬼城是这个其实在城市规划里面是有一种怎么讲其实是有一种抉择性的一种想法的因为对于很多城市来说如果你在去蔓延它的已建成的市中心逐步的蔓延开去它会带来很多的大城市病
[00:56:11] 对所以当时的一个所谓的抉择其实是去一个相对远的地方可能没有到非地那么远但是远离他主城区地方新盖一个城这个城的规划他可以从头去做他的市政建设也可以以比较先进的技术去完成所以其实有一种想法是说在这个新的城市建完之后有一部分人从主城迁出甚至包括说他可以吸纳一些原来从外面流入进来这个城市人使得这个城市可以以比较好的一个状态去让他长大但是实际执行的过程
[00:56:40] 当中出现了各种各样的问题就是规划大家都选择了这条路径是有一定的必然性或者是有它的逻辑的对但是最后执行成什么样其实就是人的主观能动性并不由你的城市规划的意志而决定是的当然这中间也包括了很多是因为时间差的问题比方说震东新区其实在大概六七年前还被国外的媒体认为它是鬼城说对不入住但是现在你去问郑州人他们对于震东新区是非常愿意接受的这是一个城市的新的区域
[00:57:10] 除了有一点他们始终不能接受作为一个北方城市郑州人受不了在郑东新区掉象这是一个很典型的北方词就是他找不到方向因为这个新区的规划是环境的他们找不到就是就有点北京人在望京没有办法打车一样的那个感觉巴西利亚的那种现代式设计风格那那个确实是不太行我们大概在五六年前去参与过郑州的一个规划性的项目当时接触了一些政府内部的资料
[00:57:34] 包括了我们在2018年看到的一张大概是在2010年左右确定的郑州市截止到2020年的规划图当时这张规划图基本上是围绕郑州现在的三环来界定它的界限三环以内是到2020年要开发的区域然后三环以外是一些还没打算做什么事情的地方但是其实我们18年去的时候几乎所有的政府部门都还在
[00:57:57] 往外要地而这个城市已经建成的区域的这个比方说像摇杆的土下来之后它已经totally超出了当时规划到的这个三环的位置所以城市的这个长大的速度其实是超出了它的规划的所以刚才约老师讲的这个不以人的意志为转一方面有可能是你搞不定一方面有可能是你这个比预想中的这个扩大的规模更加厉害是的其实因为我们看一下数字郑州在2010年的时候才860多万人
[00:58:23] 但是到2020年的时候已经是1260万人了扩张50%的人口这个容纳量确实不是10年前的规划能掌握的讲到这个新城或者大城市的一个扩张的话我觉得还有另外一个点也是必须要cue到的就是高铁很多的这个新城其实是和这个高铁站是在这里是息息相关的或者说是高铁站是这个新城的一个重要的招牌重要的招牌
[00:58:46] 我们找了一个2015年的研究他研究是京沪线和五广线上面38个高铁站的一个情况他算出来是这两条线上面的高铁站距离城市中心就原本的城市中心它的平均距离是14.12公里这其实是一个
[00:59:04] 比较惊人的数字了而且考虑到就是说如果我们再算一些更小的站它是一个平均数的概念如果说我们看一些比较新的小的城市的话它这个距离只会更长它不会更短对就有的时候我们经常说就是到了这个城市的这个高铁站其实根本就没到这个城市的这个老的城区里面你在这个城市的边缘上在这个边缘是的当然这种状况的话我觉得肯定不是这个城市的规划者当初在设这个高铁站或者是在规划新城的时候一个最终的理想状态它肯定是
[00:59:31] 不是很希望就是一定要放到这么远的地方他也想放得近一点或者说是他就是原来这个比较偏的地方因为有人高铁站他希望他是变成一个新的中心或者是他肯定是有这样一个非常美好的希望的
[00:59:42] 对从这个角度来说的话有可能高铁的规划对于这些城市来说或者对于新城来说就是比较超前的你有可能要等很长的时间才能看到一个实际的效果但还不一定能够实现或者我觉得从更大的角度来说的话高铁对于中国的很多城市来说就是一个比较超前的事情高铁其实对于整个中国城市的网络来说确实是改变了很多的东西它让这些发达的地区的联系更加紧密让大量的过去我们不太注意到的地方因为接入了高铁
[01:00:12] 之后它能够形成一定的流动
[01:00:14] 它可能是这种旅行类的或者商旅类的这种相对短途的这种流动它可能是到访性质的它有可能真的是带来了人口产业甚至我们包括说一些更大的东西的流动我觉得就是至少从城市的角度来说它肯定是带来一种可能性你当然如果单纯算账的话中国的很多高铁如果你单纯算它的营收的话肯定还是亏本的但是就像我刚才讲它属于一个非常超前投资我觉得如果类比到我们先讲到创投的话我觉得它有点类似于像自动驾驶那种
[01:00:44] 对就是你原来一个很荒的一个城市一个城区建了一个高铁站你有可能指望它15年之后这个地方能够达到一个新的高度或者是完全一个新的面包15年预期的一个投资放在我们创投里边我们之前讨论的时候我觉得就像一个对于自动驾驶的一个预期是吧就2035年可以使得自动驾驶在某些城市能够实现是吧就好像我们现在来回看15年前的中国城市你确实是觉得那真的好遥远了对所以我觉得怎么说呢就是要有点耐心
[01:01:11] 对这些地方有点耐心不能保证它一定成功但是建在这个地方的话确实会带来很多可能性OK到这里的话我们就今天把我们想要探讨或者分享的几个10年来中国城市商业的变迁的点都介绍了一下稍微再回顾一下第一个点的话我们讲的是现在司空见惯的品牌在10年前有可能远比你想象的要少第二个点的话我们讲的是购物中心的复制其实极大的改变了中国城市的商业的一个面貌
[01:01:41] 第三个点的话我们其实是从职业或者说是这个个人发展的角度来看到了这个年轻人年轻的公司人在不同城市尤其是非一线城市的一个流动的变化第四个点的话我们指一个角度叫做公司城就是新一代的这样一些大型的公司对于一个城市的影响和过去的那种所谓的工业城市的这个影响有哪些的不同
[01:02:04] 第五个点的话我们顺着讲了一个大家经常讨论的概念叫做北方的没落我们没有评价任何的这个概念但是我们确实描述或者说是让我们感慨了很多十年之前北方城市的这个商业状况和现在的一个变迁最后一点我们就总结了一个过去十年中国城市最大但是其实又是最直观的一个变化就是城市在不断的变大但这个主要是我们对过去十年
[01:02:30] 从新一线出发我们对于整个中国城市变化的一些自己的讨论大家如果说对于新一线这个概念或者说对于今年的新一线结果还是比较有兴趣的话欢迎大家直接去看第一财经杂志发布的相关的内容我们也会在声乐词里面把链接贴出来
[01:02:45] 大家如果听完这整期节目的话会觉得这应该是一个就是很多基于事实的感慨对吧有很多精细的对比当然我觉得最有感慨的还是就是我们从个人的角度其实这十年做这个城市商业的报道也会对自己有很多改变这点肯定丛乐是最最有体会的对我们两个可能没有什么特别的改变绝对是丛乐改变是最多的我刚刚翻了一下我们所有进入国新一线城市的这个城市大概二十几个城市里面我可能还就只剩下两三个没有去过了既然还有没有去过城市这个我还是比较吃惊的
[01:03:14] 对当然这些城市里面因为每次其实都是相对比较深度的去跑还不是走马观花所以有很多的人的聊天对于产业的观察对于商业的这种变化的这种体会真的还是长见识吧我跟大家解释一下我们当年杂志是会做那种城市的单行本的就是做一本小册子这个册子就专门讲一个城市
[01:03:34] 我也跑过那个青岛就是专门写了一本青岛就只有可能要写几篇文章几万字那种的是我写过长沙和杭州而且有一个意外的收获就是这个我在长沙待了两个多星期学会了吃辣作为一个完全不吃辣的人长三角人士学会了吃辣对你来说个人一个巨大的飞跃是的像肖老师就是只去长沙待了几天就没有学会吃辣没错但是你可以在长沙已经可以找到不吃辣的地方了对对这个而且包括我学会吃的辣只能是香菜
[01:04:01] 我至今没有办法吃川菜就是因为没有在成都和重庆代购足够长的时间这个其实就是新一线对你的个人的影响我觉得还有一些别的影响就因为我们再回看我们第一年做新一线的时候我觉得那个方法都还是很
[01:04:14] 很粗糙的对这几年其实我们对于这个城市的这个理解或者是框架还是投入了非常多的精力但是做出来的感觉好像就是很人工其实大家当时想了很多办法一个是属品牌这个可能这故事以前都给大家讲过就是我们真的是人工去品牌的官网上一个城市一个城市的数过去对还有一个呢就是我们还找了很多很多人去问因为当时我们设计了一些指标这个指标在现代的这个技术上来说也不太可行比方说那个当地的一场婚宴
[01:04:42] 一桌要多少钱这个东西你只能是包打听打听300多个城市简直就是你感受一下需要认识的人的数量而且因为每个人代表的他的背景也不一样所以其实收集出来的数据还是五花八门最后这个指标应该我们没有用可能做了一个相对定性的展示但是没有把它算在指标里面因为这个确实很难算对反正到现在的话其实我们可以看到我们对于中国城市的商业的评估的话已经是有一个主要是基于数据的一个评估体系了
[01:05:09] 我觉得一方面这个属于是从团队自己的进步另一方面的话其实也是我们有了更加多的维度来观察这个城市或者更多的读者也好普通的市民也好有了一个比较新的
[01:05:24] 不单单基于这种GDP这种传统数据的一个对城市的判断
[01:05:50] 期待你在各个平台与我们交流下期见
