Vol.211 没有利息，怎么搞金融？
[00:35:35] 肯定会有一些就是因为不规范或者是不清晰的这种情况然后产生一些纠纷的对而且这还有个风险就在原本它是在这个穆斯林群体当中的一个就大家可能说遵守教义或者说这个信用的问题还是会比较重视所以有这个约束很强对但如果说这个规模越来越大涉及到一些非穆斯林群体的资金的话其实这其实是非常这一下子就会出现问题了是的那这个就很理解如果你有一个正规的金融机构的话这些问题
[00:36:01] 就是你有一个法律的或者是规范的
[00:36:08] 第三个优势就是伊斯兰金融的产品很多时候是以我们前面说的重资产或者说一些比较实在的资产为核心的比如说它不能炒期货也不能炒很复杂的衍生品资产里都有很多房和车所以说金融的风险相对来说可控一些其实可以看到在2008年的西方的金融危机以后西方市场对于伊斯兰金融出现过一个小的兴趣的潮流意识到自己衍生品搞太多了风险太大了是吧开始寻找一些比较稳妥的资金方案
[00:36:37] 虽然那个时候其实可以看到迪拜的伊斯兰债券也出现过问题但是它总体来说呢相比于当时金融补典生品以及金融体系的广泛之一伊斯兰金融还是显得相对比较稳健的就是它整体因为有这些额外的一些要求那它肯定就是相对来说比较稳一点那最后一个优势就是我们前面提到一些操作方案里面像银行或者说一些大型金融机构是有可能深度的参与企业运营的它不仅仅是作为资金的提供方
[00:37:04] 这个一方面是风险供单这个原则要求另外一方面也是给企业的运营加一层把关这也降低了资金耐用的风险我觉得就是这个风险可控和稳健确实是你具体介绍一些方案的时候就能感觉到的它一个优势那讲了很多优势劣势的部分能不能介绍一下劣势很多其实它最核心的一大劣势就是它的竞争力不足就是规模就比较小
[00:37:26] 对这个市场天花板是第一个问题就是前面也说了目前伊斯兰金融放在全球金融市场盘子里面是非常小的一部分可以说它很难摆脱所谓区域市场和定向需求这种特性尽管是在增长但是它这个天花板注定是不高的这个会带来一连串的问题
[00:37:44] 我们可以从伊斯兰银行的角度从最简单的存和贷这两个方向来想一下假设我作为一个伊斯兰银行我的储户规模显然不会很大那其实用来放贷的资金总量也会比较小银行呢理论上不是完全靠储户的资金它也有一些别的融资方案比如说同业拆借或者像更大的金融机构去融资但因为我是伊斯兰银行我的同行可能也没有钱更大的金融机构也不一定愿意把钱给我所以说这些资金上面都很受限
[00:38:12] 那我怎么办呢我只能说想办法我去吸纳更多储户资金这个过程里面可能要打广告或者说我要给储户更丰厚的奖励那这样的话运营成本也就会上去
[00:38:24] 如果我想把这部分增加的成本再消化掉那我怎么做呢在贷款的部分比如说我走那个成本加利润那个模式呢那我就需要预留出更高的利润它其实上还是跟存贷的那个利率有这个差势概念是一样的像你前面说的就是换在这个1370的这个语境下面吸收存款的时候我要给更多的这个奖励然后在贷款的时候我就是要成本加利润这个利润的部分就留的更多
[00:38:49] 对其实对贷款人来说就是又不开心了就是他其实总的支出是更高的对于银行的品牌形象是有损害的等于这其实是一个各方都有可能会有一些不满意的这样一个运转的方式对所以说有些批判伊斯兰金融的人认为它是信仰的套利
[00:39:06] 这里我再举一个实际的例子我们找到一家英国的汽车金融公司它的创始人此前建立了塔吉克斯坦的第一家伊斯兰银行汽车金融听上去就跟我们前面讲的那些伊斯兰金融就可能对得上吧对它就是做汽车贷款的伊斯兰金融模式它的核心业务是为在英国跑Uber和Bot的那些穆斯林司机提供一些电动车的更换式的
[00:39:31] 贷款服务因为Uber在英国是非常鼓励大家把车换成电动车的而且它会提供一些换车的补贴所以很多司机其实有明确的换车需求的
[00:39:40] 这个公司的模式就是成本加利润我先替司机把这个车买下来然后司机再向我分期付款我可以看一下这个公司官网上的模拟计算器假设是买一辆3万英镑的车司机初期支付25%的费用然后剩下的三年里面按周付款最后算下来司机的总支出是34,322英镑
[00:40:02] 这个相当于什么就是14.4%的总利息率如果纯看这个数字的话其实是比比如说我们中国国内的那种车债的利率要高很多了不过这里有个bug就是如果你在申请贷款的时候用上Uber官方提供的那个3000英镑的购车补贴这个就会很划算你三年内只会额外支付744英镑这很重要你刚讲到这个补贴原来有3000英镑这么多
[00:40:26] 那一下子就合算了对吧是那从这个例子也可以看得出伊斯兰金融的这个市场空间还有产品结构注定它是一个运转成本相对比较高的一套体系或者这样一个思路吧除非有像Uber这样的额外的补贴的介入来调节这个利润的空间否则它是很难和传统的一些金融产品在价格上面来竞争的这里我们还要补充一个背景就是伊斯兰金融产品和穆斯林之间
[00:40:50] 不是强绑定关系比如说我是一个非穆斯林我也可以把钱存到伊斯兰银行里面去也可以去购买伊斯兰债权这个都没有问题那有些穆斯林呢其实也愿意选择传统的金融机构或者金融产品尤其在一些世俗化程度比较高的国家比如说像突尼斯它的传统金融机构和伊斯兰金融机构在市场上就是并存的互相竞争的那这种情况下其实伊斯兰金融竞争不足的问题就是更容易凸显出来
[00:41:16] 学吧学物指金太深了
[00:41:46] 那到这里呢我们就基本上把伊斯兰金融的教育原则常见产品操作方案发展现状以及这个体系的优劣势简单的介绍了一下
[00:41:56] 感觉它在现实层面还是大量的受到了现代金融市场的影响包括我们说竞争的压力吧不过还是可以说伊斯兰金融是一个基于独特的理念构建出来的特别的金融市场说是特别但是我觉得伊斯兰金融还是基于真实世界以及人的真实需求发展起来的只不过它是在一个比较小的或者说过去没有被特别重视的范畴内发展起来的在诸多的金融实践里面它显然不是运营效率最高或者说回报最丰富的
[00:42:23] 但是这也并不妨碍我们去了解它是如何在信仰与资本之间寻求折衷的矛盾也可以是机会上一就是这样
