Vol.168 透视恒隆
[00:36:16] 在起步阶段其实是一样的他们第一年的平均每平米每个月的租金都是250块左右大连项目其实比较惨这个起步只有100块的租金收入每平米但是无锡项目从第四年开始它的租金单价就是快速的在攀升就从三字头已经跳到了五字头六字头那大连的这个指标呢如果拉个台阶呢就是GAT型的就是每三年为一个阶段三年内比较凭证每三年上一个台阶
[00:36:44] 至于天津项目呢就很危险就因为可以看到到它的租金单价一直在缓慢的下滑这个数指标对于这个商场写字来说还是非常关键的很危险一个数字那三年一个台阶正好也是一个比较合理的涨幅呢因为租约都是这样签的对租约就是这样签的一般来说商场就是续作的时候再可以谈涨价的问题嘛
[00:37:03] 但现在其实也有很多项目的调整周期更快跟品牌有可能拧到了一年一切的关系不过我们总体来认为恒隆是一个比较老派的思路从它的涨幅可以看出来至少大连这个项目刚刚你说的折现体现出这个节奏还是非常明显的接下来我们看一看对于恒隆来说最重要的一类客户就是重设品牌这里我们基本上只看最顶尖的几个重设品牌包括爱马仕LVGucci和Chanel这四家的入驻情况
[00:37:33] 另外我们会额外看一个不是众设的品牌就是苹果因为它这个店的面积要求比较大然后它评效这个收入还是很高的对苹果对于很多商场来说都是重要的主力店那无锡大连和天津的恒隆这三个项目在起步期其实都没有任何像样的众设品牌是这样的
[00:37:54] 无锡和大连这两个项目开业呢有苹果店那天津呢更惨一点它的苹果店是在它开业第二年才开门的但是为什么说无锡项目相对更好呢就是因为它在第二个三年运营期的尾声就敲定了Gucci然后在第七年又敲定了LV今年据说也敲定了爱马仕等于说众说上面已经配置比较好了那大连的项目的第二轮不是有一个明显的租金提升吗其实也是要多亏LV和Gucci的入驻
[00:38:20] 刚才开头的时候约老师报了这个结论这三个项目的优劣的情况其实从这边的话就看出众奢对于这个结果的影响有多么的重要而且你可以看到这些众奢客户的落定的节奏和这些项目本身的租金上涨的节奏基本上可以对对上的有点相辅相成关系一方面是众奢来了我才能涨租另外众奢来了我才能说服其他的客户也接受我的涨租
[00:38:45] 这里可以看到陈启宗在2015年的股东信里面提到一个点就是高端时装其实也就是众说品牌了可以用恒隆系商场6%的面积产生出17%的租金收入这个其实就可以看出来品牌溢价和高课单价的影响力另外还有个有趣的数字就是2015年中报出现的他说当时无锡恒隆的法拉利和马沙拉蒂这两家门店靠着
[00:39:11] 93辆车的合计销售预计做了整个商场上半年销售的四分之一半年93辆豪车不过我觉得这当中法拉利和马沙拉蒂最好还是分开来看一看更加精准一点这两个还是有一点差别的不过我们还是能够对无锡的怎么说呢高端消费能力能够有个更深刻的认识半年93辆还是不错的说到这里我就有一个问题了就是为什么众车在线下这么稳租金收入能这么高我们一直在提恒隆和众车的关系
[00:39:39] 而且它这么多年其实又有电商又有经济下行各种因素的冲击但是线下的众设店好像一直都是非常稳若探山的看上去好像没有受影响觉得有几个理由吧首先我觉得对于奢侈品品牌来说门店租金的支出可能对于他们来说真的不算特别大的钱或者说他们在这个事情上没有那么抠门
[00:40:01] 另外就是国内商场针对于品牌的收租方案简单给大家介绍一下一般来说是围绕两个指标设计一个是固定的租金另外一个是收入的抽成比较常见是单一模式就是要么我收入你固定的租金费要不然是按照你的收入抽成或者说有一种方案就是两个都可以但是取比较高的那个保底价抽成
[00:40:22] 陈启宗的说法是恒隆的租金的模式是一种组合模式是比较高的比例的是固定租金然后比较低的比例是收入抽成就把两个结合在一起这个组合方有个什么好处呢就是它的下行期非常抗风险上行期呢是可以适当的多赚一点不过现在的话各个商场的玩法就更加欢迎多了有的可能有的部分抽成是非常非常多的这个可以再岔开说一点就是我对于奢侈品门店这个部分的理解
[00:40:50] 因为中国市场是一个电商高度发展的市场而且新富很多大家都认为是注重体验感的所以说有的人会认为就是说现在这个情况对于奢侈品的门店以及像恒隆这样的奢侈品商场会有冲击但我个人认为奢侈品的门店在功能上面不完全是卖货的地方它其实比较像是一个
[00:41:10] 建立联系的一个据点的关系就是销售在这里面很重要因为它介于消费者和品牌之间它既是提供服务也是长期的销售的渠道它跟门店的关系又绑定很紧密所以说它在这个方面的价值是没有办法完全被电商取代的固然有很多东西可以在网上直接买
[00:41:27] 但是对于众奢来说你有很多稀有的一些型号或者说是一些品你不跟一两个销售搞好关系的话你是没办法买到的对不管是你最后是通过跟SA直接聊天卖出去的还是说你自己到门店去卖出去的只要这些销售的销售额仍然跟门店绑定品牌和商场其实就没有必要去纠结所谓的冲击就因为这个东西绑定没有变化还是因为众奢这种品类实在是太特殊了
[00:41:56] 那我们最后再简单看一下无锡这个项目的租金回报率也是因为只有这个项目披露所以我们只能算这个那陈启宗在2014年正好是无锡项目的第一个完整财年估算了一下说当年商场部分的回报率应该超过了9%那我们照此推算之后商场部分的回报率会发现项目发展到第八年大概走向成熟期的这个阶段
[00:42:20] 这个指标已经升到了26.8%这个已经接近陈其中所说的30%的成熟项目的标准了刚刚对比之前你讲过的上海的两个项目的话其实这个节奏比较类似了稍微低一点点但是其实还是比较稳定的就是10年左右的时候已经接近30%确实是可以说是上等对吧还行那么你说一说天津这个项目现在情况是怎么样天津项目真的是有点不太好一个方面是因为商场在很关键的第二个
[00:42:49] 可以涨租的这个时间点上面正好正面遇上了新冠疫情感觉是元气大伤可以看一下2020年这个数字就是天津的恒隆商场部分它的品牌入驻率只有76%就跌到一个比较差的水平了而且之后一直也没有回升到90%以上比较健康的水平就一直在80%另外一方面这个项目开业至今我们前面已经说了它
[00:43:13] 没有任何像样的众设我觉得这个其实受影响比较大就是因为它就在北京旁边北京的众设布局过于全面这个肯定会大规模的影响到天津的项目我觉得这个实际上属于是你公司在提前规划的时候有可能对这个因素还是考虑的没有那么的充分或者说是本身有可能预期也不会那么高最后我们再看一个数字就是以这三个项目的数据作为标杆来看恒隆未来
[00:43:37] 我们前面提到比较关键杭州的项目杭州项目怎么样我个人觉得风险还是比较大的运营的重点肯定在于恒隆未来是如何争夺众设的客户从无锡经验来看这其实是一个长期工作影响无锡是到第六年才有了其实是恒隆这样一个超然的位置也不是说众设就理所当然的就要开在你这里了我为什么一定要搬家对吧财务的重点其实是在于杭州这个项目拿地的价格确实是太高了
[00:44:06] 那想要像无锡那样又快又稳的提升这个回报率呢其实有很多先天的难度的
[00:44:14] OK刚才是一个比较长的部分我们把恒隆在内地除了上海以外的城市的布局聊了一下虽然很长但是其实也就没有办法面面俱到就是只能大致的给大家一个概括挂一漏万了最后一个部分游老师我们可以把恒隆整个的历史数据整合一下来谈一谈这家公司从刚刚讲的财务的收合之两个条件来看怎么来看整个这家公司的状况我们从收支这两条线可以讨论两个问题
[00:44:42] 第一个就是恒隆是怎么做资金进出的这个节奏的卡点的它是个节奏大师是怎么卡住这个点的第二就是恒隆未来的财务压力可能会出在哪些方面我们先把收合之这两条主线拆开说一下先说支出部分地产公司在支出一般会有三个大头分别是买地然后重要项目的建设节点的支出以及缓贷那买地方面呢恒隆是一家历来都很重视成本控制的公司
[00:45:09] 陈立东自己说法就是一般内地项目地价可以控制在整个项目总投入的30%到40%那有些项目因为他拿地价比较廉价他甚至可以压到整个项目投入的17%到18%很小的一个比例那香港项目拿地成本就比较高所以说恒隆近20年来在香港其实只拿过两块宅地
[00:45:32] 那在建设节点方面呢我觉得没有什么特别值得说的就是付钱嘛但是其实就是要严格的按照规划周期来执行就严格的按照规划的时间点来付钱就不要生变这个是很重要的那还贷方面呢恒隆本来不是我们说的它不太靠贷款发展吗都是靠自由基金关起来的不过从2011年开始呢可以发现这个公司趁着美股市场这个低利率发过几轮美元的中期票据然后这个规模呢是从
[00:45:59] 原来的20亿美元逐渐扩张到40亿美元中期票据这个东西有一个好处就是如果你每年都可以实现借新还旧那你就其实相当于你用很低的成本获得了一段时间这个资金的使用权就只要你能借新还旧这个事情就是可以一直滚下去的所以说还贷方面我觉得实际需要担心的只是GB明确是2022几年到期的明确的贷款和一些别的一些大型的房企来说这个其实资金的健康程度来说可能还是非常好的而且
[00:46:28] 2011年那个时候这个低利率的情况这个钱不拿白不拿是的那简单来说的话就支出这个部分恒隆是买地谨慎又便宜建设方面呢就严格的按照流程来走也很有经验然后贷款还贷这个方面它规模也不大所以它的支出方面相对可控性很高那再来看收入方面那恒隆的现在的收入的生命线其实就是它的租赁业务收入这个部分确实如陈旭宗最早所期望的就是已经变成了一个非常稳定而且持续增长而且很大的一块东西
[00:46:57] 这2000年代早期恒隆在这个部分的年收入其实20亿港元多一点但是在2021年以后的这个部分已经膨胀到了每年100亿港元以上这个其实就是项目变多以后带来的滚雪球效应项目越做越多租金收入越来越高生命线非常的粗壮另外他在住宅业务这方面的收入虽然说波动比较大比如说有几年不卖他可能就没有这个部分的收入
[00:47:22] 但是恒隆呢其实始终保持了每年手上都有一到两个住宅项目是处于要么是在售要么是开发的状态公司实在实在缺钱了就可以一下子把这个豪宅拿出来当做提款机我觉得这个也不是不行但除了主业之外呢我觉得恒隆在收入方面还有三种机会分别是抛售资产债务融资以及股权融资
[00:47:44] 抛售资产方面恒隆也很有经验他在1997年亚洲金融风暴之前不是已经抛售过一轮吗他其实在2012年也有过一轮类似的很密集的动作当年是通过卖掉非核心资产账面的获益达到了53亿港元其实一个很高的数字而且这种调感既可以快刀转乱马也可以细水潮流这恒隆都是很有经验的等于他一直还是比较注重事实的瘦身的对
[00:48:09] 在债务融资方面前面已经提到了恒隆在美元债上有一些动作这个就不赘述了就在这个方面它是有布局的至于说股权融资过去20年恒隆是做过两次股权融资的分别是在2006和10年这个总筹资规模也相对来说有点高就是有180亿港元的股权融资获来的钱OK 这个部分还是蛮多的所以总体来说在收入方面恒隆的主营业务就已经有很强的抗风险能力了
[00:48:34] 然后再靠出售资产融资发行股这些呢就这些辅助手段就可以再帮他再推一把从规模上来说的话还是主因业务为主吧这个支出方面又是非常可控所以说就像你说的它非常简单那讲完收合制的手段呢我们就再结合具体的时间表看一下恒荣这个卡点的能力啊比如说2006年他同时拿了沈阳和无锡这两块地但他好处在于他就是2005年他不是靠卖君临天下卖了很多钱吗对
[00:49:03] 现金储备其实是比较足的所以说拿地这个事情对他来说不造成特别大的现金流的影响但是他在2002年还是额外做了股权融资就补充现金但是比如说2019年和20年初这杭州项目的土地款是最重要支出就一年要支出50个亿那之后就可以看到杭龙的美元的中期票据的融资规模就从当时的30亿美元直接跳升到40亿美元也是补充规划的比较明确的对
[00:49:29] 而这个部分其实我们还没有算上它主营的租赁业务的收入如果我觉得算上所有的话可以有一个简单的概括就是恒隆在资金管理方面总体来说要比其他的同等规模或者规模更大的一些地产公司它要从容很多就它资金链一直都不是拉得非常紧的那种状态就是比较正常的一个状态不过如果看未来几年恒隆为了保证这些再建项目的进度预计还是会投入比较多的建设成本
[00:49:56] 那像今年就2024年因为有同时有杭州昆明和沈阳项目的再见以及无锡项目在2025年也要启动了你说无锡是后续的项目是吗无锡恒隆有一些后续的再调改或者说再精进的部分那恒隆是预计说2024年有60亿的资本支出资本支出就主要就是比如说你拿地或者说要花钱盖厂房反正就盖房子之类的相关的一些支出硬支出那这个规模其实是
[00:50:24] 不是太小对如果我们看了一下资本支出水平的话2024年的规模仅次于公司压力比较大的2019年和2020年的水平我觉得可能也是为了保留更多的资金因为有资本支出的预期所以说也考虑了是不是可以拿更多的现金在手上所以说今年恒隆在春天开股东大会时候是很罕见提出了一个以股代息的方案之前很多年的恒隆的分红都是
[00:50:50] 比较大方的但是今年提出这个方案以后股东就有点不开心就是今年我就少拿了一点不过从这个细节来看的话我感觉对于公司的未来就是恒隆应该说目前阶段吧就是有可能是以保本保命为主对吧相对来说就不愿意把手上的现金太多的拿出去保本保命这个词就是神奇中自己
[00:51:12] 公开的说法就是他觉得就是股东们不要再渴求以前可以实现这种高速发展我们保密要关于这方面的一些具体的阐述的话大家看那个制股东信息是非常完整的OK到这里的话我们基本上把恒隆这家公司的几块的重要信息都给介绍了一下简单回顾一下分别是他在香港创造利润奇迹的君临天下这个豪宅项目第二个就是在上海两座吸金能力超级强的综合的商业体
[00:51:39] 第三就是内地其他市场的一些恒隆项目的布局最后就是这家公司把控它整体的资金的进出节奏的能力考虑到绝大多数都是财报股东信或者公开资料里面可查或者可以算的信息我们觉得恒隆这样看起来真是一家非常透明开放的上市公司规范很规范有机会的话推荐听众朋友们都去随便找一封陈其中股东信自己读一下感受一下这个人到底是个什么样的人
[00:52:07] 在透明开放之外我觉得更适合恒隆的一个形容词应该就是我们前面一直强调的简单它的目标是保持长期稳定的发展所以在主营业务上面它会选择租赁而非住宅在资产管理上面它也会倾向于运营而非交易在公司发展上它也会更加坚持纯的地产而非多元化总体来说就是走一个简单的模式另外恒隆的策略我觉得看起来都充分尊重了常识
[00:52:34] 比如说尽量做到低买高卖然后买地的时候要尽量控制成本如果收入上面比较可观的话你就不要上那么多的金融杠杆等等当然想要践行这些尝试除了需要强大的意志力和耐心之外也要对于社会的方方面面的整体形势有非常密切的关注和很深的研判否则你也没办法完全践行这些尝试没错而且与之相对的话我们可以看到房地产行业前景的主流状况其实就是越来越紧的开发周期
[00:53:02] 和越来越紧的资金链那常识固然很有价值但是在短期的高额回报面前其实长期的价值是很容易被掩盖掉的最后给大家讲一句恒隆2015年年报股东信里面陈其中说过话本人的看法当然并非每趟皆准但无论其为乐观或悲观至少都是实话实说长期发展尊重常识实话实说商业确实应该是这样
