Vol.218 F1的美式大改造
[00:34:34] 那在这种情况下其实F1在美国长期实际上是不是很玩得开的但是呢我们都知道美国对于优质体育内容的消费力又是最最强的就是远超于别的市场所以他一直不想放弃到了2012年就是在改革之前其实他又重新开了一个奥斯丁站那个实际上还相对比较成功的自由媒体集团接手之后呢那自然就是更加要加码美国市场这个新兴的市场所以前面说的像传媒策略啊等等你像纪录片是奈飞出品的
[00:35:03] 电影是苹果出品的然后又找了布拉德皮特来主演这很明显主要就是针对美国的新粉我们前面讲的那些新粉其实很多都是来自于北美的市场的
[00:35:14] 除了这些传播的措施以外呢更重要的点就是F1增加了在美国新办的比赛还是那句话就是内容传播是吸粉的然后你还是要有比赛来雇粉对对对那些人比如刚刚看了纪录片热血沸腾的然后接下来哪里有比赛可以实际看一看呢在拉斯维加斯哦2023年的时候F1开始举办拉斯维加斯街道夜赛
[00:35:38] 他把拉斯维加斯那个大道变成了赛道的一部分然后又是在晚上的还有喷烟花等等的那种感觉好拉斯维加斯嗯这一战比赛有很大的不同就是他是F1直赢的比赛什么叫直赢就是这里要补充说明一下就前面其实我们提到过一点F1的赛事除了版权和赞助以外呢还有一个重要的收入来源就是他每个分战赛的主办地要交给F1一个参赛费那这笔钱是不少的前面我们其实提到过一些新兴的市场办比赛
[00:36:06] 比如像当年的中国还有现在的是阿布扎比啊等等这些地方每年就要交几千万美元的年费等于是特许经营权就是特许经营权而且我觉得就这么说起来的话其实F1这个模式很妙就它有两重特许经营权一项是面对车队的一项是面对主办地的这个实际上是它比较特别的一个点面对主办地这个它就可以直接收钱这个它还有很多玩法比如说如果你是每年的头一站和最后一站这种比较关键的场次收的钱还要更多它还有很多的玩法
[00:36:35] 这个当中只有一站就是拉斯维加斯它是不用交参赛费的因为它是F1自己来举办的所谓的亲自组织就是像我们刚刚讲的就是你租用这个道路要变成一个临时的赛道还有你要租酒店你要建造车库这种设施方方面面的话这些都是你F1这个公司自己来出钱而不是主办方来出钱了当然门票也是由你F1自己收到的像那些比赛的话就是主办方来收门票了门票跟F1是不相关的
[00:37:01] 最后的效果我们看到拉斯维加斯的夜场赛就成为了每年F1的一个大秀
[00:37:06] 就我前面讲到那种非常光鲜亮丽的那种场景在大电影里面其实也有充分的体现相当于F1把它搞成了一个样板间那种感觉所以这个这么大一场秀很花钱吧很花钱甚至包括就是那个拉斯维加斯不是有很大的一个球吗就那个球也很花钱那个就是他也会投放的你想想看那个只要不是说那个球那个不是美罗神的球那个是很贵的一个球真的很贵的一个球但我们看一下具体的数字就我们根据F1的财报能够大致的推测一下没有明确的数字
[00:37:36] 我们刚讲这个拉斯维加斯是2023年开始办的嘛2023年F1集团在这个其他F1开支这一项开支当中呢相比较于前面一年2022年多出了约5亿那这个当中据推测很大一部分就是拉斯维加斯这一战那些投入
[00:37:52] 然后是收入层面就是2023年F1第四季度的收入是12.3亿美元前一年的第四季度呢大概是7点多亿美元吧拉斯维加斯就是第四季度的所以我们也可以大致的推测这个当中很大一部分也是由这一战来贡献的虽然是一个比较粗糙的计算大致上可以推测这个拉斯维加斯这一战就是不会赚很多也不会亏很多既然能赢亏平衡很厉害对我看到比较多的还是说他会亏一些嘛
[00:38:19] 但是你可以发现就是他的这个赚钱的潜力还是很大就他会卖一些很贵很贵的票然后有一些很新的活动啊等等的而且这个只是小账嘛就是仅就比赛而论的那些小账就如果要算大账的话比如说这个FE这个赛事的全球影响力啊尤其他在美国的影响力啊带动的客流啊等等的还有吸引了很多名流啊或者是一些潜在的机会啊等等的那这个未来的前景来说还是比较乐观的就是你还是把它看作一个品牌费用来说这个事情就不会很心疼对更何况他还是有赚钱潜力的
[00:38:49] 那我们前面其实是把自由媒体集团入主F1之后的三大变革一是拥抱新媒体二是缩小贫富差距三是扩展美国市场逐个分析了一下那其实我们已经开始讲到了一些F1目前的收支结构小老师要不然你再给大家一个全貌的说明吧我们分成纵向和横向两个方向来看吧
[00:39:10] 纵向就看一下过去这七八年自由媒体集团入主之后的变化情况2017年的时候F1集团的总营收是17.83亿美元然后它息税前的那个经营利润是3.97亿美元2024年呢这两个数字变成了36.53亿美元和7.74亿美元都比17年翻了一倍左右吧就营收翻的更多一点那从这一点来说还是比较OK的对吧就几年时间就已经能够翻一倍了其实还是比较好
[00:39:38] 那接下来看一下横向就是具体而言它这个收支的结构是怎么样的那收入的部分呢主要是四块就是赛事授权就是我们前面讲的那个给主办方的那个特许经营费的那个收入版权收入就是电视这个比较好理解广告赞助这个也比较好理解还有一个呢就是其他F1赛事相关营收这个就包括一些就是F1自己搞的超级贵宾俱乐部就是那种特别特别贵的票
[00:40:02] 还有比如说这个赛车在欧洲地区以外的一些物流的服务这个比较专业的这个也是由F1统一来提供的这些都会收比较多的钱这四者的比例大约是3比3比2比2这样一个结构然后我就把它跟2017年的这个结构稍微对比了一下最大的区别呢其实是在于赛事授权和广告收入这两项赛事授权的比例在2017年的时候是34%广告是15.3%
[00:40:30] 到了2024年的时候大家可以发现就是赛事授权这个比例实际上是下降的然后我们又得知这几年的新增的赛事实际上是比较多的赛事总量是变多的那它既然比例都下降了那个广告的比例又上升了说明这个广告增加的这个绝对值还是比较多的就等于说这个F1这几年增加自身的影响力其实已经开始体现到更外围的层面就是赞助商开始过来了是自由媒体集团入主之后呢有个比较大的动作就是更新了一批赞助商
[00:40:58] 全球合作伙伴那种吗对对对就是像TOP那种样子的好像就叫全球合作伙伴还是这么一个说法当然它就是每隔几年都是要更新的但是它这个更新的幅度比较大的就如今F1的全球合作伙伴有11家包括像联想它也是当中的其中有8家是2020年之后加入的基本上完成了一轮新的更新这个当然还没有算上各个车队自己专属的那些赞助商那个都是跟F1公司没有什么特别大关系的对付上那些logo那些东西有很多实际上是车队自己赚到的
[00:41:27] 这一系列开源的结果呢就是每年分给车队的分成再增加因为这个分成首先是基于你自己的收入的就是这个赛事本身的收入的我们看到的数字就是2017年分给所有车队的这个分成是9.19亿美元2024年呢是12.66亿美元就这个比例没有那么高啊增加的没有那么多但是你对于一些中小车队来说你再加上这个前面讲到的那个贫富差距的那个结构的调整之后你赚到的钱是明显变多了
[00:41:54] 对这个两性循环已经初步建立起来是的
[00:41:57] 这期节目我们梳理了F1这项赛事在2017年一主以后如何从低谷一步步恢复生机如果用一句话总结这其实是美式职业体育这一套技术对于老旧的欧洲的F1赛事的一次技术扶贫我非常同意F1虽然之前说是全球赛事但其实还是以老欧洲为主的我觉得这里边所谓的技术扶贫最大的一个差别就在于改革之前其实F1是被不同需求所裹挟的一个比赛
[00:42:26] 而如今它比赛本身被放到了最核心的位置这个逻辑就理顺了开发的逻辑运营的逻辑赛事IP的潜力也被逐渐的发挥出来了当然另外一方面这几年的改革之所以颇有成效我觉得还是因为这些都是显而易见的需要改的那些方向就属于是跳一跳能摘到的果实尤其是传媒这个方向我觉得还是的当然内部的改革是需要非常多的斡旋和技巧的
[00:42:50] 接下来挑战我觉得也会逐渐的浮现出来比如说我们前面虽然讲到车子的平复差距缩小了一些但是还是有蛮大的差距的就如果你要继续调整的话还是有很多的空间那这个就要求你的平衡数是更加高超了
[00:43:03] 到了2026年有一支新的车队将加入F1就是凯迪拉克车队新的厂商车队那一支美国汽车品牌主导的新车队能否在新的F1生存下来其实是对它这个新生态的一次重大的考验过去F1被视为汽车工业的网关也就是说赛车和民用汽车业的发展其实是自上而下息息相关的但是随着汽车业往新能源和智能化方向发展
[00:43:29] 过去那种由赛车来引领民用车去发展这个叙事已经越来越淡化了赛车本身变成一种更加纯粹的我不爱看但是肖老师很爱看的game而且在此基础之上如果你同意未来自己开车的人会越来越少的话那这种game的属性就会越来越强烈这就要求赛车的话事人不断地强化F1的吸引力和稀缺性就像其他顶尖体育赛事一样商业就是这样
