Vol.34 “金字招牌”特辑：哪些消费品类发生大变化？
[00:36:46] 这里举一个国外的例子可能更能说明问题就是国外的话围绕球鞋的话不仅有非常成熟的二级市场甚至还有指数你可以理解为像炒股票一样来炒鞋好想知道这个指数是怎么回事这指数设计还蛮复杂的但是有一个做得非常好的公司叫stockx它目前的业务设计的话其实长得跟股票交易所真的是差不多的有aj指数耐克指数这样的东西
[00:37:11] 这个公司的创始人Josh Ruber觉得品牌给球鞋设定那种静态的价格的话完全是一个过时的概念一个产品的价格完全应该取决于供需关系这是非常经济学的想法这个鞋已经脱离了它功能的本质了对变成一个真正的草物不过德物的话其实没有像StockX这么激进看起来没有这么先进它们总体上来说还是一半店商一半社区两条腿走路
[00:37:36] 德物的起步形态的话其实还是社区消费者不仅在上面晒鞋现在也会晒一些潮流的穿搭然后包括一些数码生活方式之类的其他内容它本身跟小红书是有点像的只不过可能男性的比例稍微高一些到2020年这个品牌正式改名叫德物之后呢平台上面对于物也就是交易的这个部分相当于是明确的更重视起来了它也变成了运动服饰品牌非常重要的一个流通渠道我自己下单试过几次
[00:38:04] 感觉上有一个问题是因为他过于强调德物这个平台在中间的一个见真环节就是要保证这个东西是真品然后他因为有这么一个保障层的机制的话反而导致流通效率非常的低下我买了东西竟然要10天才能到这还是中国吗简单总结一下于老师刚才讲的其实是从
[00:38:25] 海淘这样一个生意如何兴起然后讲到了2019年这样一个生意如何转变成现在我们所谓的潮流电商这样一个转变的过程以及其中一些核心的公司有怎样的一个变化是这样一个逻辑对吧没错那这个里面其实我自己有一个蛮大的困惑就是这些公司怎么就本来坐着海淘一下子就变成潮流了这个切换好像也没什么过度嘛
[00:38:50] 这其实也是我最大的一个困惑也就是说中国消费者目前讨论的消费潮流到底是什么东西
[00:39:15] 我们今年在金字招牌榜单上面看到一个非常有意思的新的品牌的上升过程是一个国际化的奢侈品电商品牌叫发发旗它原来的话一般在这个榜单里面是一个中间位置的状态今年的话其实是窜到了第四位发发旗的定位非常有意思它其实是连接了很多小众的地方化的设计师品牌
[00:39:39] 而且他帮全球的很多线下的买手店做了一个数字化的转型相当于他自己不做库存所有的商品你看上的商品都是从这些买手店里面发出去的
[00:39:48] 本质上是一个对线下逻辑
[00:40:18] 终于聊完四个品牌了很多听友经常说我们节目太短不过瘾我不知道这次过瘾了是吧反正我嘴是干死啊大家过瘾我们过世啊熟悉我们节目的朋友们可能都知道就是到了结尾的话我们一般要说一些看似严简易改非常厉害的话来总结一下不过这期的话可能就没有这样的总结了因为单个公司的单个商业世界的话我们还能总结出一些要点来方便大家来提取信息
[00:40:46] 但是今天我们聊了四个其实是截然不同的行业,隔行如隔山,硬要总结趋势的话就会出现类似于这些行业的格局都在发生很大的变化这类正确的废话。没错,刚才于老师说的隔行如隔山我也很有体会,因为其实我们自己也没有任何专业的背景,即使是相对熟悉的行业和真正的业内资深人士相比也差很多。
[00:41:08] 所以我们本质上做的还是一个抛砖引玉的工作就是通过我们一些规范的方法去学习提炼一个现象尽量能够帮助大家建立一个理解的框架我们其实很相信通过一次次学习提炼的过程很多原本你觉得平平无奇的事情也会发现它很有嚼头比如我们在这次的金字招牌屏蔽里面会发现有很多长期稳定排名的品牌
[00:41:32] 其实稳定背后的话就有很多门道哪怕你稳定在最后一名也有很多门道对吧这个其实也很有意思对所以还是很欢迎听众朋友们经常给我们提一些你感兴趣的话题或者公司让我们一起来探寻商业是什么样的
[00:41:50] 感谢收听这一期的商业就是这样
