Vol.126 本地商家的新顾客，来自抖音
[00:38:34] 第二点呢就是他的商家自己的抖音账号要在这个大直播之前的几天也要开始做直播这么做的目的是能够提升他这个直播间的热度第三个呢就是他要和官方来讨论一些投流的具体的策略并且去争取一些官方的扶持比如说有些平台的专门的这些优惠券的
[00:38:51] 第四个呢就是要准备好促销直播的内容就当天这个大直播它一定要有主题不能是这个当天就说我这个便宜便宜便宜那说不了一天的你一定要和一些比如说这个公益的活动啊能够结合在一起怎么说呢我现在听下来就觉得现在这些做生意的因为要积极的拥抱这个互联网在互联网上做这种营销
[00:39:12] 他们现在已经把自己训练成非常非常资深的广告人了你看这个排兵布阵我们自己做营销报道可以知道啊它其实是一个非常标准的很多4A公司做的这种一个campaign的一个框架它的目标非常明确可能这些老板都不知道啥是campaign但其实他们真的做的非常的无论从战略上还是从这个执行上都做的很细致比如说从这个选达人这块他们有一个很明确自己的身份的标准
[00:39:40] 首先从生意的目的出发他们会选长沙当地的达人因为他的目的是能够把整个长沙这个片区的这些客人能够带进来第二是粉丝基础他们选的是两到三万以上的这样的达人的活跃度相对更高一些然后相对来说性价比更高一些他会把明确的景点的话术发给其实用我们的词叫brief对吧brief给这些达人随便他们怎么拍
[00:40:08] 但是他必须得把我这个景点的几个优势讲明白商家是有很大的选择权利的他们可以根据优质内容来决定是不是要追加投放从我们大盘的数据上来看目前90%的短视频带来的GMV是达人带来的所以这是一个非常重要的一个生意的入口所以我们希望我们的本地商家一定能够把做达人营销当作是一个可以零基础快速起步的重要的方式
[00:40:34] 嗯这个理论也是重要的事情强调两遍啊然后他最后的效果其实也很简单就他整个买达人啊包括投流这些费用大概是1万元左右最后实现的销售呢是当天是21万也等于达到他那个目标了而且最后的这个核销率啊就是实际上他这个团购链接传购券最后到现场来买的这个核销率是很高的
[00:40:56] 当然啊就是黑咪风的这个老板也跟我们强调说并不是说我做了线上的引流能够把这个销售量扩得很大就万事大吉了做这个滑翔伞的这个生意其实现在还是有很多新的挑战的一方面就是你的客单价和利润毕竟会变薄嘛因为是团购的套餐另外一方面别人也会模仿嘛就和前面的水带人家那个是一样的所以说黑咪风现在也会尝试一些新的领域探索其中有一个呢就是他要做高端化
[00:41:22] 客单价要更高对他要做滑翔伞的培训而不只是现在主流的这个单次的飞行体验就这个飞行体验是个教练带着你飞的但是滑翔伞培训好了之后呢你就可以独立的飞行的因为你要去学一个滑翔伞的这个签证的嘛类似于潜水执照吧对对对这个客单价就比单次体验要高很多了这个培训一般的价格要在四千元甚至更高了但这应该是一个更长久的策略
[00:41:46] 旅游向的线上货客如果说客人你能够因此喜欢上滑翔伞然后自己再投入金钱时间对于老板来讲总归是最好的事情而且一旦这样的比例越高他的利润和他生意的稳定性也会越高对
[00:42:03] 今天我们讲到这里已经把三个商家的故事都分享完了大家可以发现其实做小生意的门道一点都不少不过其实关于他们每个人自己的生意其实还有很多很多有趣的故事我们只是尽量的集中在和线上货客相关的这个话题上我觉得要稍微总结一下因为这个细节非常的多有三个点我觉得是可以提炼值得很多别的商家参考的
[00:42:29] 第一个就是商家一定不要被各种的数据维度搞迷惑一定要紧盯最核心的指标就是销售额的提升和ROI就是你这个投入产出比第二个就是你线上货客不是一个单独的行为你的线下运营一定也要适应新的货客方式来同步调整第三条就是你要知道自己这家店的差异化的竞争力把自己最重要的资源投进去我们看到星光贝贝和水歹人家的案例其实都说明了这一点
[00:42:56] 那其实到这里其实我有一个问题我刚才一直憋着没说我相信其实很多听友大概也会想问就是想问一下抖音平台比如说我们今天其实讲前面三个都应该算是相对比较成功的案例我们都在讲抖音对于本地的商家提供了哪些更好的营销的帮助那这个问题就是说对于这些本地商家来讲
[00:43:20] 抖音的这个线上的运营真的就是说万能一种万能药吗试了就一定零吗当然不能这么说其实我们也看到很多的商家也是他经过了自己很多的尝试那平台也希望在很多的商家的共通的成功经验里总结出一套系统化的打法而且我刚提到就是本地商家尤其他们的生意模式是多种多样的很难用一种
[00:43:45] 比如说电商的玩法去覆盖所有的商家的所以我们也希望和商家一起来做尝试然后也希望商家更多的相信平台因为系统会真正的告诉大家共通的成功经验是什么所以能帮商家少走一些弯路
[00:43:59] 当然不会这个我觉得有这样的认知还是因为信息差
[00:44:27] 我跟你分享一个案例就是我之前和一个全球非常有名的这个CEO大企业他的问题反而是是不是中小商家更容易在抖音成功都觉得自己亏了对就是永远就是有这样的信息差他们会认为信息特的好玩的商家更容易抖音爆出来所以我们一直相信其实对平台来说一定是希望所有的商家都能够繁荣都能够做好生意
[00:44:54] 其实刚刚你们也说了就是做生意一定要紧盯最核心的指标尤其对于中小商家来说就是销售额和ROI我是来赚钱的所以我们也很希望我们的商家能够正视商业流量作用不要沉迷于自然流量不要沉迷于一时间的爆火或者增粉我们的投放是真正能够帮助商家来进行规模化的触达更精准的触达和更直接的生意成果的
[00:45:22] 我借这个机会再给大家做一些科普和广告吧我相信尤其对于中小商家来说一提到广告一提到营销就相信有成本有一些障碍所以我们也尽可能地通过降低门槛的方式比如说现在我们对于这一类商家咱们这一类中小商家来说其中门槛可以做到只有100元而且还可以给第一次投放的这些新客户我们提供五折的优惠
[00:45:48] 也为了这些商家能够
[00:46:16] 是他们肯定是希望能够获得更加好的效果这方面你觉得比如说如果让你讲一条最重要的技巧的话是什么这也是一个好问题就是我们充分的体察小商家的这种想要尝试的心态特别想知道流量密码对吧所以今天我们也分享一下也分享一下就是流量密码在哪所以刚刚我们其实在聊那个星光被白风摄影的这个案例的时候也提到就是要在周末提前做好投放
[00:46:42] 我们也已经看到了就是无论在哪个品类周末前尤其是记住密码周四周五周六这三天很明确的这三天都会有流量小高峰这个也是一个用户的行为出发的因为大家都会在这段时间去思考去搜索对吧周末要干嘛周末要干什么这个期间产生的这个GMV销售额会比其他日期高出30%我们有了这个区域之后也推出了相应的这个投放的
[00:47:11] 激励的政策也是希望我们的商家在周四周五周六这三天叠加投放所以整体的GMV增长会更加的加倍的明显而且目前我们看到的这个增幅是两倍还有余目前我们看到的大盘数据是这样的那现在我们正在推出这个大家号召我们的商家周末提前投广告的这样活动我们用一个口号是周四五六广告投周末生意抬起头
[00:47:38] 挺顺口的这个其实你要说吧也是个非常符合直觉的一个概念因为大多数的本地的消费都是发生在周末的尤其是本地生活这个领域对吧但我觉得里面要更加提的就是刚刚李永讲的一个点就是他觉得投放了之后会扩大这样一个自然的这样一个规律的这个效果说的直白点刚刚李永讲的就是从平台的角度肯定是你们也是希望商家来投你们的这个广告对吧在这个平台上面能够投放花钱
[00:48:06] 但是从你们角度肯定也希望这个商家花这个钱能够实惠一点或者能够产生一定的这个效果不然的话人家也不会持续的来投所以我能够理解你们从平台角度也是紧张的希望能够交给他们一点相对比较就是现在可行的一些具体的操作方案但是我真的觉得现在的这个互联网时代对于这些小商家的要求真的好高啊我前面听了这三个我觉得
[00:48:32] 你要真的要让他们有非常好的这个流量的意识营销的意识甚至是对网络要非常熟悉因为其实有的很多小商家有可能并不是像我们年轻一代这种互联网原住民这样就是对网络这么这么的了解对抖音对社交媒体这么这么的了解我很想再补一个问题就比如说像Leo你们再去做就有没有就是有一些就是商家的基础的教育否则你能要求每一个商家都是网络达人吗挺难的吧
[00:48:59] 其实这个问题很好我们所有的这个入口商家都可以从我们的比如说搜索我们巨量隐形小助手我们的官方抖音号搜索我们的巨量学我们官方的这个教育的平台其实所有的这些内容都是免费的我们非常欢迎商家来这些平台看一看学一学其实很简单我觉得是这样就是任何事情都是从零开始的就是我也刚刚提过就是如果你要自己摸索对吧肯定是一个非常漫长的过程但是如果跟着平台一起
[00:49:27] 去通过系统跑出来的这个成功经验就会最快那讲到这个我还有一个想要挑战一下就是今天我们听了这么多案例的话都可以听得出来对于这些本地商家来说现在在抖音上面做投放其实还是有一个红利的它能够实现更加好的一个转化
[00:49:43] 随着越来越多的商家发现这个价值的话我相信这个竞争也会变得激烈对吧那到时候商家该怎么办所以我觉得最后我再抛一个点就是也请商家关注一下搜索价值听起来又是一个很专业的我们之前都是大客户才会做搜索引擎优化但其实我们现在看到了对本地生活业务搜索已经贡献了整体GMV的50%有很大的生意一半的生意是通过搜索看后搜来进行这个转化来购买的
[00:50:10] 所以我们就一直在强调就是说如果你搜索不再优化的话你前面种草等于又浪费了我们也不是希望给商家增加更多的压力而希望真的原原本本的把我们所有的干货给抛出来我们认为最重要的还是要把内容基建做好把内容和搜索的关键词匹配好大家被种草了搜得到能够搜到你在哪你关键的商品性是什么
[00:50:33] 今天我也提到了很多次生态的繁荣就是我们真的是希望商家的生意能够做好我们希望我们虽然一直在强调线上化其实我们并不是要通过互联网去改造我们本地商家而是希望本地商家依然能够用他现在的经营资料做好他的生意获得更多的客流我们也看到即便他不在抖音直接产生购买行为我们也能够看到很多用户说我是抖音刷来我过来你这儿的我们称为外溢现象外溢价值
[00:51:02] 我们也会认为这是抖音带来的价值
[00:51:30] 不断的适应寻找自己适合的方式
