Vol.219 新世界的债务危机，该由谁负责？
[00:38:17] 涉及到他的财报能有哪些需要特别处理的指证这两点分开说债务问题的指证方面可以快速关注的肯定有几个方面第一个是公司的短期贷款尤其是无抵押的贷款的总规模和利率是不是在快速增长第二个就是公司的债券和票据规模是不是在快速增长第三个是这个公司是不是开始用永续债作为融资的工具或者他永续债的周期利率是否在恶化
[00:38:44] 这里简单解释一下永续债永续债属于一种介于股权和债权之间的融资工具那公司借了钱以后呢理论上可以一直不还本金只付利息很怪啊同时呢它在资产负债表上一般也不会体现为负债而是体现为权益因为不进负债的部分所以说它对于财报的粉饰效果也比较好所以大家有些公司还蛮爱用的那我们看到新世界发展的话它是2017财年开始发永续债的
[00:39:12] 如果我们要判断它的债务情况的话这一个就是一个关键的节点对就是为什么这一年开始去发永续债了至于需要特别处理的指标我们可以看两个一个是前面其实提到过的合同预收款前面也说了这就是期房销售就是已经收了一部分钱但是还没有转成收入的部分它名义上是负债但实际上不是负债另外一个是保单其实也是一样的名义上是负债实际上不是
[00:39:36] 剔除掉这两个指标影响以后呢我们才会得到一个比较合理比较干净的负债标OK这个其实是一个准备工作或者说是一个像新世界这样的房企的财报上面的债务问题的一个小科普吧就把这些搞清楚了之后就能够借用这个基础来看它债务情况到底怎么样了对吧是那在完成第一个问题之后接下来什么问题第二个问题其实是我们前面读那个郑志刚那个回应里面来的
[00:40:02] 他不是说自己任内没有过度借贷吗那究竟什么叫过度借贷这个说法就是有没有一些地产行业里面公认的或者说能够反映实际状态的算法来鉴定有没有过度借贷呢显然是有的我觉得这里的核心是两点一个是公司的资产和负债的增长是不是能够匹配上第二就是现金对于短期债务和利息支出的覆盖情况是怎么样的
[00:40:30] 这里先说资产和负债的匹配情况简单的算法就是看一个叫做净负债率但是具体算法我不解释了大家可以自己去查一查这里是相对要注意一点就是要剔除掉合同预收款然后再把永续债的部分加回去因为我们这里还是把永续债视成就是一般的贷款它不是什么特别的贷款它就是贷款然后把这部分贷款的利息的支出的影响也加回去
[00:40:54] 这样我们就得到一个就是比较合理的就是真实的净负债率这里我们其实主要看的是这个净负债率的一个走势新世界发展之前的这个净负债率的话一般是40%到50%它在2019财年这个数字直接跳到了70%左右然后到2020财年之后一直是100%以上一句话就是它目前的净负债其实已经高于它的所有者权益了这其实就是一个比较危险的现象
[00:41:22] 那在这个基础上呢现金对于短期债务和利息的覆盖情况也不是很乐观这两个指标一般看的是倍数就比如说你这个公司的现金储备如果是你短期债务水平的三倍这算比较好的如果说你这个现金储备是利息的五倍也是比较好的就三和五这个数字大家可以先记一下这就是财务层面比较健康的一个指标
[00:41:47] 那这两个指标出现变化的分水岭其实也是在2019到2020财年2019财年公司的现金对于短期债务的覆盖能力
[00:42:14] 其实前面讲到的净负债率还有利息的覆盖率我们之前在有一些讲财报的节目里面都大致的提到过或者是一些类似的概念本质它就是来判断你现在这个债务情况到底健不健康刚刚叶老师讲了非常多的数据还有一些术语翻译成最简单人话就是新世界发展从2020财年开始理论上已经是资不抵债了然后它的现金储备也非常的有限到了最近的2024财年已经不能够覆盖短期的债务和利息的支出了
[00:42:43] 所以确实这个公司现在债务情况非常的危急他光靠自己经营造学已经不够延续下去了必须要从外面找钱这就是一个基本的情况对这是第二个问题的答案接下来我们再谈第三个问题这其实也是从郑志刚的回应里面来的他说自己担任行政总裁时候集团已经有显著的债务负担我们查了一下他升行政总裁是2020财年的事情而新世界发展的债务问题是拖到了2024财年爆雷的
[00:43:11] 所以说如果我们要给债务问题划一个明确的时间节点划在哪里最客观呢你前面经常提到就是2019财年或2020财年对吧总共就这两年但这个就跟他升行政总裁这一年就比较接近所以前后还挺重要的是吧
[00:43:26] 对就我个人比较倾向于是2019财年出现的问题这里有很多其他的指标变化可以支撑这个结论首先是2019财年里面公司的短期负债规模增长了102%它永续债的规模增长了127%这两个指标快速增长肯定不是什么好事情另外我还
[00:43:47] 涉及了一些小的计算指标比如说银行贷款债券和票据要求的这个还款年限是否变得更短以及短期债务是否有些超预期的增长具体的计算方法我就不尝试口头解释但是结论都是一致的就是在2019财年这一年里面新世界发展的债务问题已经在显著加剧了我们还是强调那个原则就是2019财年完全不受疫情影响只能说当时公司自己就已经出了一些问题
[00:44:14] 另外对这个问题感兴趣的朋友其实也可以再看一看2013到2014财年的数据从一些比率指标来看到当时的情况也有点吃紧但是2013到2014这个财年跟2019到2020这个两个时间段的一个最主要差别就是当时新世界发展债务规模总量没有现在那么大就我们看比率可能都很危险但是那时候总量很小
[00:44:37] 所以说现在的情况肯定是人人比那个时候要更可怕的回到你刚才第二个和第三个问题里面提到的郑志刚的这两点回应就是他上任行政总裁之后有没有过度借贷以及他上任行政总裁之前是不是公司的债务情况就已经比较危急了这两个问题的答案从刚才袁老师的分析来看的话基本上都是郑志刚的回应是比较符合现实情况的就是在2020财年之前
[00:45:06] 其实这发展的这个债务情况就已经比较恶化了对我觉得大家还是应该更关注2019财年就是理论上什么都没有发生的这一年出现的问题这一年的问题是后面所有大的问题的一个非常大的伏笔其实情况是在这一年发生恶化的所以从数字的结论上来说我觉得郑志刚的回应没什么问题
[00:45:29] 前三个问题其实已经帮我们逐渐的把这个问题的焦点要厘清了接下来第四个问题是什么呢第四个问题其实是一个自然的追问就是企业它融资肯定是要有成本你要付利息而且借钱是要还的那么新世界发展去这么大规模去搞借贷它目的到底是什么就这些钱用到哪里去了前面你不是提到过一些新的业务吗比如说保险还飞机租赁这些的就并购这些业务花钱是不是主要的
[00:45:57] 并购确实是一个花钱的方向但是对于新世界发展来说呢肯定还是要考虑它的核心需求也就是房地产这边要花的钱这里的钱主要是两类嘛一类是拿地一类是开发这里我们对着重要项目和财务指标的变化大致比了一下可以发现在2019财年之前一两年这公司的重点呢其实就是建那个香港的Victoria Dockside还有武汉的一个汉口K11项目的扩建
[00:46:25] 其实总体用钱的地方还没有那么多而在2019财年至今呢就是中国内地它要同时推进宁波深圳上海和杭州四个综合体项目的建设那在中国香港呢也有一个项目叫11Skies航天城所以确实是2019财年开始一下子要投很多个新项目那要产生回报之前肯定需要融资才能拿到钱嘛对确实是这个问题不过另一方面新世界发展也不是第一天借钱
[00:46:53] 这一轮债务扩张其实遇到了另外一个问题就是你为了这些项目的建设的用钱你去借了一些债借了一些新的债但是你同时在这一年里面你还得还旧的债那一进一出你其实最后的金融资格是剩不了几个钱的我们可以看到2019财年和2022财年都是这个样子就这几年虽然说借了很多但是同时要还很多最后算下来金融资格其实是负数相当于你借的钱等于没借一样
[00:47:20] 都是为了存活下去的借钱并不是为了真的发展从这一个点也可以理解为什么到了2024财年财务状况更加吃紧的时候他要割肉或者说是直接找母公司把新创建人接手然后拿到一大笔的现金来还钱了就是这样因为2024财年显然他借新债的能力已经非常有限了市场上没有什么人愿意再借给他了另外一方面就是他当年还旧债的压力已经达到了历史之最仅票据
[00:47:48] 要还的部分就有24亿美元这其实是历史上最高的一个水平了所以说就是美元那其实很多了对就当时割肉新创建你从母公司那里可以一下子拿回217亿港元的现金这个资金的回转余地一下就很大了所以这就是第四个问题的答案就是这个钱借过来主要是为了发展但是更重要是先把旧的这个钱的窟窿给补上这个钱借来用来干什么已经搞清楚了那第五个问题是什么呢
[00:48:17] 那第五个问题呢我其实还是想顺着今年六月份这个声势浩大的债务重组继续来讨论这个拆弹过程很惊险很波扯最后也成功了不过我更关心的是就是这轮债务重组解决了什么问题又没有解决什么问题解决的问题很简单就是根据这个公告这个公告其实也没什么信息量它主要就是说我们把银行贷款的到期时间往后压了一压最早到2028年才需要还本金
[00:48:41] 但是还没有解决的问题呢其实至少可以关注两个跟利率和利息相关的问题吧首先是目前的贷款利率它随着债务的充足是不是有变化是不是比如说提的更高了你2018年是还的是本金吗你这后面还要付利息啊我们也很关心利息的问题啊不过这个要等新一年的这个年报披露以后我们才能有个大致的结论所以目前没有什么定论
[00:49:05] 另一个利息方面的问题是永续债前面我们简单介绍过了永续债的原理是什么就是一个可以不用付本金可以一直只付利息就可以延续下去的东西永续债有一个非常有意思但是也很吃人的陷阱其实就是藏在这个利率的设定里面如果我们看这家公司在2020年及以后发行的3比0永续债的说明都发现他们都使用了浮动利率
[00:49:32] 浮动利率的具体算法是以美国三年期或者五年期的国债利率为基础然后加上一个双方商议好的一个溢价的比例而如果到了一定时间比如说五年之后七年以后这公司决定我还是不付本金我还是只付利息我这个永续债不赎回的话那么利率就会进一步往上跳升3%就是虽然不付本金听上去非常的香但这个利率是一直跳的话很快就会变成很高的水平就压力非常大比如10%这样的话
[00:50:00] 那其实对这公司压力有可能比你要付本金那种债还要更加厉害就是你到底是付本金呢还是付利息呢伸头一刀缩头一刀就这种感觉了
[00:50:09] 其实目前新世界发展确实已经有一笔永续债的利率超过了10%可以具体看一下这笔永续债是2022年6月份发行的其实它规模很小只有5亿美元基于当时的美国的三年期国债这个计算的初始利率就加了一些溢价以后是6.15%6.15%我已经觉得挺高了但是它最近经过了一次利率跳升以后它现在要支付的利率就是10.13亿
[00:50:37] 从我的角度来看为这么一点本金付这么高的利息属实是没有必要所以说如果说新世界发展之后能腾落出来一点资金空间我觉得这个永续债的部分你就应该好好梳理重组一下就是这么点的东西就赶快先把它还了算了吧
[00:50:52] 我理解了其实你第五个问题讲的是接下来我们要关注新世界发展的财报里面要关注它债务的部分是有哪些就看它重组之后具体的结果在财报里面的体现对我们不要看一个重组的结果或者是公司的一个说法就好还是要看一下后续的实际的压力是不是真的有缓解最后一个问题是什么最后一个问题
[00:51:16] 其实是看到7月份彭博社报道说新世界发展还在做一轮20亿美元的债务融资但是投资人普遍就希望你这个公司不要再搞信用贷款了我们希望你增加更多抵押品来提前诚意所以当时说法里有很多就是说要把Victoria Dockside这个东西拿去抵押什么的我的问题就是目前新世界发展还有什么能够拿来抵押的东西这个答案也是大致上可以算出来的比如说
[00:51:44] 可以看收租的这个投资型物业我们就可以根据财报里面披露的账面公平值以及以抵押的价值来算一个抵押率土地也是类似的这里大致的结论就是公司71%的土地55%的开发中的投资物业以及35%已经建成投资物业都处于抵押状态但反过来就是还剩下一部分就是没有抵押的
[00:52:07] 不过这里有两点要强调首先这里算的是价值层面的抵押率不涉及到规模或者个数那具体抵押就是你这块地是抵押的你这个项目是抵押的所以我们这个算就只能是个概念上的算法其次呢投资性物业的价值基础是账面公平值这里就涉及到一些估值的艺术你就是你说这块这个项目值多少钱呢
[00:52:32] 你给这个估值我有可能也不是很认那实际抵押时候可能就是真的给不了这么高的估值嗯这个其实你是在算它最后的这个底线有多少对吧因为靠信用来抵押的话是一回事情如果真的要抵押一些自己下面的一些优良资产的话那这个公司面临情况就是另外一回事情了是的OK那到这里啊我觉得刚刚那一段虽然听上去有些专业但是非常精彩啊就是关于新世界发展的整个负债问题袁老师把它拆成了6个小的问题而且实际上是逻辑层层递进的
[00:52:59] 逐步的有个解答我觉得这样拆分析的话即使是之前对这个领域完全不了解大家也可以对于新世界发展它这样一个非常大规模的负债它到底来自于哪里怎么会产生的然后它接下来情况是怎么样有一个比较清晰的来龙去脉的了解
[00:53:14] 在这边总体的给大家一个小节这家公司其实是在2019年前后就已经有了比较明确的很大的一个债务的压力了这个根源有两个一个是他同时在开拓或者操作很多新的大型的项目这些项目未来才能产生收入所以现在要大量的借债还有就是他此前的债务其实已经有比较多的累积借了很多新债来还了旧债
[00:53:40] 接下来第二个重要的节点就是在2024的财年这个公司终于出现了收入的萎缩上项目的支出和急需还债的这个三喷头的情况所以他面临了一个生存的危机最后必须要协商债务重组那这个债务重组最后的结果怎么样呢我们现在看起来他依然无法做到完全的解除警报或者说无法做到面面俱到
[00:54:02] 今天这一期听下来的话确实感觉到香港的房企以及香港的豪门梳理起来确实是错综复杂我们仅仅讲的是整个家族资产当中一个上市公司的已经比较简化的一部分业务已经这么复杂了用时也是远超以往但确实不论是正式家族还是新世界发展对于在整个行业里面的重要性是非常高的这也是我们为什么愿意花比较多的时间来做一个比较基础的梳理
[00:54:29] 整段书开了写了这么长最后有没有一个比较清晰明朗的一个结论结论说不上我就是想了很久就找到了一个关键词就是这个关键词能够把所有的要素过程和问题都串在一起这关键词就是信誉在新世界发展这个例子里面信誉其实可以有四层的阐释首先正式家族能够获得如今的认可度很大程度都是基于他们过去
[00:54:56] 所有项目上的成功不管是住宅还是综合体珠宝还是基建这其实都是一些所谓肉眼可见容易给大众留下深刻印象的资产这些资产支撑了郑家的信誉也支撑了新世界发展这样的上市公司的信誉因为有了这个支撑所以资金可以一步一步变成更大的野心
[00:55:15] 其次呢让新世界发展陷入困境的债务包括永续债的部分你如果深究起来很大的比例是信用贷款就是没有任何抵押的就是纯靠信誉借出来的钱从依赖自由资金发展到逐步依赖信用贷款扩张新世界发展这家公司在它历史上已经两次踏入过同一条河流了前一次是靠郑裕彤付出重整山河那后一次呢就只能用自己已经退色的信誉去跟银行们商议债务重组了
[00:55:43] 第三呢关于政治刚离开家族企业这件事情呢前面说那个流行叙事的最后落脚点是富不过三代嘛这个也是一个损害家族和自身信誉的一个结局上的说法但是如果我们认真分析过去这么多年政家的产业帝国以及这个家族成员之间是如何运转协调和输送利益的那最后的结论可能就不是这样的如果说外界关注的主要集中在面子的问题整个体系关注的可能还是里子问题
[00:56:11] 不过你刚才其实提到一点就是郑志刚会自己下面的公司把KC这个品牌买回去说明他本人还是比较重视自己过去的这个付出和信誉的他很重视面子问题我觉得在家族体系里面出现这么一个唱反调的还挺有意思的
[00:56:26] 而到最后一层呢我们可以再上升一点我们之前节目讲过恒大恒大是一个大家都说是一个大而不能倒的故事嘛据说许家印和郑裕同是往年交关系啊他在日常经营中吸收了很多同书的经验反过来看新世界发展其实也变成了香港市场上一个大而不能倒的问题如果他的债务困境不能解决本地的房地产市场只会迅速的陷入深渊最后影响整个香港的商业行业
[00:56:52] 我们经常说所谓的一惊落万物生但实际情况是一惊落了之后不一定是万物生而是更有可能在它的下落过程中大量弱小的生物就被压死了信誉是商业世界基石企业或者个人的信说要接系于此新世界发展的案例正是无形的信誉如何决定一个有形帝国命运的深刻诠释所有表面的成功与困境最终也都是信誉的累积和消耗商业就是这样
