Vol.273 英伟达则兼济天下？
[00:35:04] 他讲的故事核心的叙事是什么呢就还是我们前面讲的算力会变成一个像电力啊像通讯流量啊像高速公路一样的基础设施它就可以长时间的产生价值所以呢它就应该被视为一个可以流通的资产来卖其实他就是把算力资产化比如说我们基础设施可以做RACE那这个东西也可以打包再卖一遍是那在这种情况下
[00:35:27] 我借钱给别人建了数据中心就不是一个借钱的工作了就不应该算是一个资本开支了对吧也不是应该研发的一个投入或者研发的一个费用了我是可以拿到市场上再去融资的因为它可以定价可以交易嘛对吧那你就看成投资一个资产就行了又绕回到前面折旧的问题了这个赚不过来啊是那老黄对此他是有一个解读的第一点他提到就是说老的GPU的价值比想象中要延续的时间长
[00:35:51] 比如说他说像A100这些比较老的芯片还在用于做一些微调甚至推理的一些训练所以GPU的使用年限他说是在朝着10年这个方向去就是人为的把资产的这个使用年限拉长了就是产值可以多算一点那如果你10年的话是不是就是勉强可以认为它是一个固定的这个资产来算勉强他说第二点就是说一些主力的GPU的盈利能力其实在增强的
[00:36:18] GPU它本身的价值还在变高而不是未来会变低其实对应的就是我们前面讲的两个做空者的常见质疑它就是在回应这两个点它举照了比如像H100B200这些东西现在单位时间的价格都在上涨就比前一年上涨了很多它举这些数据与此可以对应的一些消息是很多大型的AI的云服务商为什么他们会急着要借很多钱赶紧要造很多数据中心呢确实在目前它的回报速度是比较快的
[00:36:43] 比如像马斯克他会提到说有的数据中心他一年都会回本12个月我们也了解到国内有的数据有可能还更快一点反正跑过折旧了现在是肯定跑过折旧的不然这些人真的傻吗比折旧要慢的然后我现在是投钱他我觉得这两个回应有一定的说服力但是不能解决所有的质疑就简单来说
[00:37:04] 当下的高价值并不代表长期残值也是稳定的而且这件事情靠你现在说没有用啊还是要等实际的市场的需求或者说一些具体案例跑出来大家才能有一个明确的认可度那只要终端对于算力的这个需求不断在增长呢那肯定一切都好说那反过来呢也是一旦增长消失了这个大家都开始质疑你了对这个东西它就是一个不能现在去线性外推的一个事情对
[00:37:32] 我们聊了这么多其实我们之前讲过就是在上一次聊英伟达的时候讲到黄仁鑫和英伟达他在这个公司或者个人的气质上面有个点就是他们一直有很强的生存焦虑你就觉得自己明天就死了对就他一直在追求一种自己在整个行业里面处于一个安全的位置同时整个行业是处于一个安全的可持续的位置
[00:37:52] 所以他一方面要确保自己的产品是领先的就技术上面他一直在抽自己的鞭子与此同时呢他也要放大这种技术领先就是他选择了金融的杠杆从2023年投资COVID开始算起英伟达社大约用了三年的时间把自己从一个
[00:38:07] 高效的赚钱机器变成了整个AI领域里面最大的投资人
[00:38:33] 中立一点就是它至少在加速整个行业的发展但就像我们刚才提到这个战略或者这个叙事的核心的假设多少是在跟实际的赛跑那种味道对大家都会同意AI未来非常非常大比互联网还要大对吧但这个图景什么时候到来会否像他们这个投资的规划一样打引好的及时的到来或者说当中会不会有低谷有反复这个时间这个timing实际上是决定一切的我觉得对于投资者来说也是一样的就是定性讨论泡沫
[00:39:02] 其实意义不是很大泡沫是不是一个坏东西取决于它的一是规模二是什么时候会破还有就是泡沫破掉之后会发生什么这些才是重要的事情但这些事情本身就是很难很难预测的就像大公投里面说的做空的时机其实要比做空的判断更重要那巴瑞这个人本来呢也是险些因为做空时机不对而损失惨重我觉得他对于这个事情应该是有认识对就包括他这一次
[00:39:31] 25年第一次做空音尾达之后其实也是损失掉了当然它是头寸也没有那么的多这个预测的事情反正我们是没有这个能力的也就像我们开头说的我们不做这样的一件事情我觉得对于行业来说真正值得期待的是在泡沫的鼓动之下会不会有原本被打压被延宕的一些创新涌现出来
[00:39:51] 这种创新又能否激发出更多的创新真正的产生价值就像智能手机和移动互联网一样这个实际上是值得期待的
