Vol.268 两个劳斯莱斯
[00:34:47] 也就是发动机投入使用后一年之后所有的交通工具都开始追求省油了或者是追求燃油经济性了这实际上是个大的趋势不是一年的事情这恰恰就是三轴发动机的强项所以在这之后RB211它的性能不断的改进升级它不是做了一些升级版的研发吗最后是有用的它在市场上的确是获得了很大的好评甚至后来进入了波音等等的供应包括后来我们知道有空客
[00:35:15] 这也帮助了罗罗他最终挤身了世界三大民航发动机供应商之一从后面来看的话罗罗做的设计思路长期来看是一个很正确的决策但是技术开发和科研还是不太一样科学研究不用特别讲究timing
[00:35:37] 他可能在比如说发论文的时候才会讲究探棉而且也不会特别在意这个事情有没有用这个点但是在工业界的技术研发的话其实是需要一个更精准的一个时间包括要在恰到好处的时间投入资源做恰到好处的研发就是不可能说让一项就是长期来看很有价值技术在今天就把公司拖垮你如果这个公司已经死掉了然后你强行把它挽救回来
[00:36:02] 这个风险还是很大的对就劳斯莱斯其实已经死掉了只不过你是太大或者说太重要没有死就政府救你了而已实际上你已经输了对吗你是被ICU强行的挽救回来的这样的状态而且我觉得就是你刚刚讲的这个长期的这个研发呢就是在航空发动机当中确实是有一个tricky的点就是大家的第一单生意确实都不太赚钱都不太赚钱因为你是要先获得了这个几金这个认证就进入这个圈子之后获得这个供应的资质之后
[00:36:29] 之后赚钱可以赚的很多比如说维护的这个费用更新的这个费用这个实际上是赚钱的大头所以劳斯莱斯当时可能抱着这样的一个期待但是你不断的抱这个期待不断的这样来说服自己最后发现这个先压垮了你都等不到后面的维护的有钱了简单的说就是你这个公司要先活到整个技术成熟了再活到客户交付然后你可以赚维护的钱的时候你再说才说后面的事情对这中间都得先保持活着是
[00:36:57] 到这里我们其实把劳斯莱斯历史上的拆分讲完了准确来说这其实是一场经营危机导致的破产和国有化这拆分其实是个很好听的说法但是这个故事就没有结束前面我们提到1971年实际上是劳斯莱斯的至暗时刻然后到了1972年它其实已经有一些痞迹太来了因为发动机不管怎么样是研发出来了而在1972年其实也是全球的政治局势发生重大变化的一年
[00:37:26] 这一年有两位重要的政治人物先后访问了中国第一位是美国总统尼克松第二位是日本首相田中角荣那我觉得尼克松可能大家更熟悉一点因为他访华是打开了中美建交的大门嘛
[00:37:39] 而田中角荣的访华在当时也是很震撼的实现了中日包交正常化是的这两次访问可以说是彻底改变了冷战的国际局势尤其是为中国之后的发展打开了一些战略空间甚至也有观点认为就是中国对外开放起点其实就可以追溯到1972年尼克松大家都比较熟悉田中角荣有可能有的朋友不太了解只听到过名字而且跟我们后面的故事是相关的所以我们稍微补充一些背景
[00:38:06] 其实田中角荣是日本二战之后最具影响力的政治人物之一而且他的个人经历也很传奇感兴趣的朋友可以去听东亚观察局出品的付费节目叫日本宰相列传其实到这里我已经觉得在听那个节目了这里面其实专门有一期是讲田中的经历的我们这边就简单介绍一下给个免费版对 田中他是没有东京大学的精英学历的那种
[00:38:29] 然后他甚至没有他也没有政治世家的这种资源他就是一个纯平民出身甚至泥腿子出身他没有学历的都小学学历好像就是
[00:38:38] 但是呢就是这样一个人他是凭借他在商界尤其是基建行业的这个积累进入了政界然后逐步在日本的这个执政长就是自民党内部呢形成了自己很大的派系并且他也就是在1972年这一年登上了首相职位而且他好像就是出任首相没有多久就跑到中国来是田中角荣在任期间最大的政绩功绩就是在出任首相不到三个月就是访问了中国并且促成了中日邦交的正常化
[00:39:07] 当时的背景实际上是1972年尼克松年头上面先访华了而且实际上就是1971年的时候基辛格先是秘密的访华然后很快就宣布说尼克松72年头上要访华的这个先给世界带来很大的震撼那么当时美国的盟友们就接到这个林子就很快就开始加强与中国的接触包括像西德等等也是很快就在这两年里面就跟中国建交了日本是当中推进最快的最先实现突破的国家之一
[00:39:35] 虽然现在来看这个是当时的大势所趋啊我们就是讲起来好像都非常的顺但其实在当时日本国内有很多的反对声音然后还包括像有历史的问题对吗有台湾问题等等的阻碍而且也没有人想到就是日本先跟中国这个率先建交在美国的朋友里边而田中角荣是一上台他刚刚上台嘛就把跟中国建交作为一个重要的目标一个政绩的目标来推动的
[00:39:59] 并且和中国的领导人一起
[00:40:27] 也正是因为他这种就决断力吧就是田中一直被认为是那种宰相式的人物就是在关键的时刻是能够有一些专利的眼光敢于去拍板然后做一些冒险风险的其实尼克松也给人这样的感觉嘛对吧他也做了很多的这个重大的改变不过田中角荣这个人他的政治生涯其实收场不是很光彩他先是因为黑金政治的问题在1974年就辞职了所以他当首相也就两
[00:40:50] 而且到了1976年的时候呢他就被卷入了一场牵涉日美的跨国行贿案这就是著名的洛克希德事件就是本节目差点要变成东亚观察局到这里又回到了本节目的主线是吗是的我们可以讲一下这个洛克希德事件当时呢就是1976年那个时候美国的参议院呢正在做一个调查就是调查此前美国政府收受一些企业的非法政治资金的问题
[00:41:16] 这个内部的腐败问题查着查着就发现呢这些企业不但在美国内部腐败还向海外的政府行贿那这个当中一个重要的角色呢就是洛克希德公司这个调查就怀疑啊就是后来是有证据的啊这是洛克希德公司曾经在1972年的时候通过一黑一白两个渠道向日本的多名政要行贿那其中呢就包括田中佼容不是还一黑一白啊
[00:41:42] 让我解释一下啊这个明面上的白色渠道呢实际上是日本的四大商社之一就是完红商社很有名的啊这个黑的就是水下这个渠道呢是一位在战后的日本有很广泛的影响力的一位黑道人物他叫尔玉玉士夫反正是尔玉吧
[00:41:59] 这一件事情呢被美国方面先是媒体报道出来了然后就在日本掀起了轩然大波甚至出现了一些极端的事件啊就当时这个关键人物不是这个尔玉吗他提前获得了风神所以销毁了一切的证据在他那边没有寻到这个突破口那么就有一些极右翼的日本的这个年轻人有一个这个日本的演员他驾驶了一下自己的小型飞机撞向了尔玉的宅邸来表示抗议最后他确实自杀成功了什么神风特攻队行为不理解啊
[00:42:28] 那么当时的日本的首相已经不是田中了因为田中在74年就下台了当时的首相叫三木武夫他为了打击田中的势力因为田中虽然下台但是他的派系还很强大为了打击这个势力他就不断的把这个事情上升高度甚至公开要求美国这边要提供证据来帮助日本检方来给田中小人定罪反正一番拉扯之后洛克希德公司的高管在美国的一个听证会上面确实承认了行贿然后也提供了相关的证据
[00:42:56] 到了1976年的时候田中角荣就被捕那在漫长的诉讼之后呢1983年田中角荣一审被判有罪获刑四年罚金五一日元这五一日元呢也是被确认他收受的这个贿赂反正就是前面这个部分的故事我在不毛地带里面听过一个版本有点类似的这个部分没错没错后来我查了一下就是原作者山崎风子他这个故事本身是一个连载故事他正好就是连载到这个部分的时候
[00:43:25] 出现了洛克希德事件然后后面大家都说你这个故事很有预见性甚至还有社会性所以我们回过头来问就是为什么洛克希德公司一个美国公司要去行贿日本政要呢我估计有的听友听到这边应该能猜到我们毕竟这是一期劳斯莱斯讲飞机发动机的故事他为什么行贿呢他就是想要向日本的全日空航空来兜售自己刚刚上市的搭载着RB211引擎的三星客机
[00:43:53] 就是还是为了卖飞机才这样是最终的全日空确实购买了21架的三星客机总金额是10亿美元OK但回过头来说为什么洛克希德公司要如此费尽心精通过行费的方式也要把这个客机给卖出去呢重要的原因就是我们前面讲到的因为它的研发延期了所以在美国本土市场落后于竞争对手卖到的同款金型所以它必须要在海外市场获得更多的订单
[00:44:19] 我们前面不是说三星客机盈亏限是500架结果最初只有250架被卖掉对所以说他就得找更多的客户来接这个单子是的一方面像日本是个重要的客户还有一个重要的客户其实就是苏联据说苏联原本是准备采购至少100架三星客机的但是在这个行货案曝光之后计划取消了就是投机不成18米非常典型就感觉就整个研发地域就是在地域里面时间最久的还是洛克希德是
[00:44:45] 但是话说回来我们也不必为洛克希德这样的公司来叹息三星科技的确是失败了但它只是摧毁了洛克希德进入民行业的希望它在军工行业仍然保持了地位我们不知道它后来跟另一个公司合并就成为了现在的洛克希德马丁而且现在有一些新的调查都认为当时洛克希德行贿日本的政要三星科技就是个表面真正的核心还是为了售卖军工的产品
[00:45:08] 这个公司多多赚赚最后还是要买进共产党而且根据公开资料显示洛克希德的行贿对象不止日本整个洛克希德事件使得意大利 西德当然是西德 荷兰等等地方的政要都被查出来有问题乱成一锅粥了最后美国参议院调查的结论就是以洛克希德为代表的美国国防工业其实长期以来都存在一个系统的海外贿赂的体系
[00:45:33] 他们有数据说洛克希德累计的贿赂金额海外贿赂金额是达到了120亿美元是一个非常擅长贿赂的公司这一事件就彻底让美国社会意识到了自己的军工企业它这个商业模式正在变成一个干预他国政治的一个危险的游戏这也直接促成了美国的一个叫做反海外腐败法的通过你提到洛克希德这个事情东窗事发的主要原因是因为当时的美国参议员在调查美国政府收受非法政治资金
[00:46:02] 拔出萝卜带出泥才发现了海外行贿是的那么他这个调查不就是水门事件吗是为什么当时美国的国会要去调查美国政府的问题呢此前美国政府是谁呢就是尼克松当总统的时候不是白提到他的一定要跟他产生一些关联是的水门事件我们都知道了简单而言就是说当时的美国总统尼克松他被怀疑受益他相关的手下的一些人员对他的竞争对手实施窃听
[00:46:28] 并且在事情败露之后试图掩盖真相并且阻挠调查因为形成了我们所谓的宪政危机最后他是被弹劾那么在弹劾案通过之前他是在1974年的时候同样在1974年辞职之后就是美国的民主党上台了然后就发起了我们前面提的调查所以我们可以某种程度上认为这次洛克希德案的东窗事发实际上是对尼克松时期的一种清算的附带效果
[00:46:56] 虽然这个附带的效果同时也牵涉到了田中角荣而洛克希德被视作目标其实也毫不意外因为他本来就是尼克松本人最大的政治资金的来源之一总之就是出现了一个横跨两国非常符合刻板印象的国防工业的政商勾结的链条是的但我们这故事还没有完还没完吗在田中角荣被清算的过程当中除了日本国内反田中的势力抓住这个机会大举进攻之外还有一个原因也是很让人在意的
[00:47:25] 就这回事第二件事情呢
[00:47:52] 就是在1973年的石油危机当中第一次石油危机当中田中角荣没有站在美国这边公开的支持以色列我们知道这个石油危机是因为以色列和阿拉伯的国家打仗日本当时没有站在美国这边而且他还保持和阿拉伯国家的石油贸易据后来当事人的相关的回忆录基辛格为此专门跑到日本去对田中角荣施压了就是吵架要求他不要买中东的石油但是田中非常强硬的回绝了
[00:48:19] 还回了一句就是说我们少的石油你给我补因为这两件事情就让当时的尼克松乃至整个的美国政界就对田中角色非常的不满了觉得你这个人有一些异心或者说你不甘于只当美国的一个小弟盟友你想有自己一些相对独立的外交路线所以到了后来的洛克希德事件当中美国人就是半推半就的释放出了这些对田中不利的消息这也就不足为奇了当然严格来说这些都是推测没有明确的证据当然也不会有证据
[00:48:48] 你把最后这段补上是不是因为第一次石油危机又提到了我们前面说RB21这个脾气太难是的第一次石油危机的确是非常重要的一件事情它深刻的影响了很多行业的发展以后我们有机会再展开
[00:49:03] 那到这里劳斯莱斯第一次拆分的后续余波其实就差不多了完这余波其实很大就很感慨回过头来看RB211的研发虽然历经千辛万苦但其实也就是延期了一年但是就在这一年里面不仅决定了劳斯莱斯和宾利之后的命运还跟欧洲一体化冷战的格局石油的危机以及两个大国首脑的政治生涯纠缠在了一起
[00:49:28] 而我们能看到的呢只是飞机发动机和豪华轿车上现在有的双R标志它们有着同样的字体但却有不一样的底色商业就是这样
